packet_id,label,mutation_type,severity,pr_vendor,gst_vendor,pr_ref,gst_ref,pr_amount,gst_amount,pr_date,gst_date,pr_gstin,gst_gstin
pkt-13,NO_MATCH,different_entity,high,Supplier Inc 13,Different Supplier Inc,INV-10013,INV-10013,10554.4,10554.4,2023-05-23,2023-05-23,27AAAAA1013A1Z5,27BBBBB1234B1Z5
pkt-14,FUZZY_MATCH,ocr_artifacts,medium,Supplier Corp 14,Supplier Corp 14,INV-10014,INV-IOOI4,31785.42,31785.43,2023-09-24,2023-09-24,27AAAAA1014A1Z5,27AAAAA1014A1Z5
pkt-15,EXACT_MATCH,none,none,Supplier Corp 15,Supplier Corp 15,INV-10015,INV-10015,23166.78,23166.78,2023-05-21,2023-05-21,27AAAAA1015A1Z5,27AAAAA1015A1Z5
pkt-16,NO_MATCH,invalid_gstin_suffix,high,Supplier Inc 16,Supplier Inc 16,INV-10016,INV-10016,16281.71,16281.71,2023-01-08,2023-01-08,27AAAAA1016A1Z5,27AAAAA1016A1ZX
pkt-17,FUZZY_MATCH,date_shift,medium,Supplier LLC 17,Supplier LLC 17,INV-10017,INV-10017,20118.12,20118.12,2023-02-07,2023-02-12,27AAAAA1017A1Z5,27AAAAA1017A1Z5
pkt-18,FUZZY_MATCH,minor_amount_diff,low,Supplier Corp 18,Supplier Corp 18,INV-10018,INV-10018,25011.64,25012.14,2023-11-15,2023-11-15,27AAAAA1018A1Z5,27AAAAA1018A1Z5
pkt-19,EXACT_MATCH,none,none,Supplier LLC 19,Supplier LLC 19,INV-10019,INV-10019,12406.71,12406.71,2023-09-18,2023-09-18,27AAAAA1019A1Z5,27AAAAA1019A1Z5
pkt-20,FUZZY_MATCH,date_shift,medium,Supplier LLC 20,Supplier LLC 20,INV-10020,INV-10020,29270.84,29270.84,2023-10-13,2023-10-10,27AAAAA1020A1Z5,27AAAAA1020A1Z5
pkt-21,FUZZY_MATCH,string_distance,low,Supplier Inc 21,Suplier Inc 21,INV-10021,INV10021,25525.36,25525.36,2023-02-25,2023-02-25,27AAAAA1021A1Z5,27AAAAA1021A1Z5
pkt-22,NO_MATCH,different_entity,high,Supplier Ltd 22,Different Supplier Inc,INV-10022,INV-10022,7726.78,7726.78,2023-03-26,2023-03-26,27AAAAA1022A1Z5,27BBBBB1234B1Z5
pkt-23,CONTRADICTION,major_amount_diff,high,Supplier Ltd 23,Supplier Ltd 23,INV-10023,INV-10023,3270.03,6540.060,2023-07-20,2023-07-20,27AAAAA1023A1Z5,27AAAAA1023A1Z5
pkt-24,EXACT_MATCH,none,none,Supplier Inc 24,Supplier Inc 24,INV-10024,INV-10024,12645.56,12645.56,2023-09-28,2023-09-28,27AAAAA1024A1Z5,27AAAAA1024A1Z5
pkt-25,EXACT_MATCH,none,none,Supplier LLC 25,Supplier LLC 25,INV-10025,INV-10025,36064.02,36064.02,2023-11-18,2023-11-18,27AAAAA1025A1Z5,27AAAAA1025A1Z5
pkt-26,NO_MATCH,missing_record,high,Supplier Corp 26,,INV-10026,,17074.76,,2023-05-14,,27AAAAA1026A1Z5,
pkt-27,CONTRADICTION,major_amount_diff,high,Supplier LLC 27,Supplier LLC 27,INV-10027,INV-10027,261.94,523.880,2023-12-24,2023-12-24,27AAAAA1027A1Z5,27AAAAA1027A1Z5
pkt-28,EXACT_MATCH,none,none,Supplier LLC 28,Supplier LLC 28,INV-10028,INV-10028,38121.91,38121.91,2023-09-04,2023-09-04,27AAAAA1028A1Z5,27AAAAA1028A1Z5
pkt-29,FUZZY_MATCH,ocr_artifacts,medium,Supplier LLC 29,Supplier LLC 29,INV-10029,INV-IOO29,25432.38,25432.39,2023-04-05,2023-04-05,27AAAAA1029A1Z5,27AAAAA1029A1Z5
pkt-30,NO_MATCH,missing_record,high,Supplier LLC 30,,INV-10030,,27015.01,,2023-09-01,,27AAAAA1030A1Z5,
pkt-31,FUZZY_MATCH,date_shift,medium,Supplier LLC 31,Supplier LLC 31,INV-10031,INV-10031,1071.89,1071.89,2023-06-27,2023-06-22,27AAAAA1031A1Z5,27AAAAA1031A1Z5
pkt-32,EXACT_MATCH,none,none,Supplier Inc 32,Supplier Inc 32,INV-10032,INV-10032,12119.49,12119.49,2023-10-03,2023-10-03,27AAAAA1032A1Z5,27AAAAA1032A1Z5
pkt-33,FUZZY_MATCH,ocr_artifacts,medium,Supplier Corp 33,Supplier Corp 33,INV-10033,INV-IOO33,24350.92,24350.93,2023-02-25,2023-02-25,27AAAAA1033A1Z5,27AAAAA1033A1Z5
pkt-34,CONTRADICTION,major_amount_diff,high,Supplier LLC 34,Supplier LLC 34,INV-10034,INV-10034,33021.57,66043.140,2023-09-06,2023-09-06,27AAAAA1034A1Z5,27AAAAA1034A1Z5
pkt-35,EXACT_MATCH,none,none,Supplier Corp 35,Supplier Corp 35,INV-10035,INV-10035,43634.41,43634.41,2023-07-07,2023-07-07,27AAAAA1035A1Z5,27AAAAA1035A1Z5
pkt-36,NO_MATCH,missing_record,high,Supplier LLC 36,,INV-10036,,15654.64,,2023-11-21,,27AAAAA1036A1Z5,
pkt-37,FUZZY_MATCH,date_shift,medium,Supplier Corp 37,Supplier Corp 37,INV-10037,INV-10037,44990.74,44990.74,2023-08-04,2023-07-31,27AAAAA1037A1Z5,27AAAAA1037A1Z5
pkt-38,NO_MATCH,different_entity,high,Supplier Corp 38,Different Supplier Inc,INV-10038,INV-10038,16970.47,16970.47,2023-10-18,2023-10-18,27AAAAA1038A1Z5,27BBBBB1234B1Z5
pkt-39,FUZZY_MATCH,date_shift,medium,Supplier Inc 39,Supplier Inc 39,INV-10039,INV-10039,11088.85,11088.85,2023-02-23,2023-02-19,27AAAAA1039A1Z5,27AAAAA1039A1Z5
pkt-40,FUZZY_MATCH,minor_amount_diff,low,Supplier Corp 40,Supplier Corp 40,INV-10040,INV-10040,45280.46,45282.96,2023-06-03,2023-06-03,27AAAAA1040A1Z5,27AAAAA1040A1Z5
pkt-41,FUZZY_MATCH,date_shift,medium,Supplier Ltd 41,Supplier Ltd 41,INV-10041,INV-10041,10790.42,10790.42,2023-03-24,2023-03-26,27AAAAA1041A1Z5,27AAAAA1041A1Z5
pkt-42,EXACT_MATCH,none,none,Supplier Inc 42,Supplier Inc 42,INV-10042,INV-10042,40394.1,40394.1,2023-04-04,2023-04-04,27AAAAA1042A1Z5,27AAAAA1042A1Z5
pkt-43,EXACT_MATCH,none,none,Supplier Ltd 43,Supplier Ltd 43,INV-10043,INV-10043,21609.45,21609.45,2023-07-14,2023-07-14,27AAAAA1043A1Z5,27AAAAA1043A1Z5
pkt-44,EXACT_MATCH,none,none,Supplier Inc 44,Supplier Inc 44,INV-10044,INV-10044,2803.14,2803.14,2023-11-21,2023-11-21,27AAAAA1044A1Z5,27AAAAA1044A1Z5
pkt-45,FUZZY_MATCH,date_shift,medium,Supplier Inc 45,Supplier Inc 45,INV-10045,INV-10045,20190.8,20190.8,2023-06-26,2023-06-24,27AAAAA1045A1Z5,27AAAAA1045A1Z5
pkt-46,FUZZY_MATCH,ocr_artifacts,medium,Supplier Ltd 46,Supplier Ltd 46,INV-10046,INV-IOO46,9591.42,9591.43,2023-08-05,2023-08-05,27AAAAA1046A1Z5,27AAAAA1046A1Z5
pkt-47,NO_MATCH,missing_record,high,Supplier Inc 47,,INV-10047,,13999.4,,2023-04-28,,27AAAAA1047A1Z5,
pkt-48,EXACT_MATCH,none,none,Supplier Inc 48,Supplier Inc 48,INV-10048,INV-10048,40420.31,40420.31,2023-09-04,2023-09-04,27AAAAA1048A1Z5,27AAAAA1048A1Z5
pkt-49,FUZZY_MATCH,ocr_artifacts,medium,Supplier Corp 49,Supplier Corp 49,INV-10049,INV-IOO49,49964.2,49964.21,2023-01-03,2023-01-03,27AAAAA1049A1Z5,27AAAAA1049A1Z5
pkt-50,EXACT_MATCH,none,none,Supplier Ltd 50,Supplier Ltd 50,INV-10050,INV-10050,20380.06,20380.06,2023-08-07,2023-08-07,27AAAAA1050A1Z5,27AAAAA1050A1Z5
pkt-51,NO_MATCH,missing_record,high,Supplier LLC 51,,INV-10051,,8315.39,,2023-01-13,,27AAAAA1051A1Z5,
pkt-52,FUZZY_MATCH,ocr_artifacts,medium,Supplier Ltd 52,Supplier Ltd 52,INV-10052,INV-IOO52,14333.94,14333.95,2023-12-24,2023-12-24,27AAAAA1052A1Z5,27AAAAA1052A1Z5
pkt-53,EXACT_MATCH,none,none,Supplier Inc 53,Supplier Inc 53,INV-10053,INV-10053,9575.9,9575.9,2023-04-02,2023-04-02,27AAAAA1053A1Z5,27AAAAA1053A1Z5
pkt-54,CONTRADICTION,major_amount_diff,high,Supplier Ltd 54,Supplier Ltd 54,INV-10054,INV-10054,15748.88,31497.760,2023-01-19,2023-01-19,27AAAAA1054A1Z5,27AAAAA1054A1Z5
pkt-55,CONTRADICTION,major_amount_diff,high,Supplier Inc 55,Supplier Inc 55,INV-10055,INV-10055,45977.42,91954.840,2023-09-06,2023-09-06,27AAAAA1055A1Z5,27AAAAA1055A1Z5
pkt-56,EXACT_MATCH,none,none,Supplier Inc 56,Supplier Inc 56,INV-10056,INV-10056,4097.56,4097.56,2023-03-03,2023-03-03,27AAAAA1056A1Z5,27AAAAA1056A1Z5
pkt-57,NO_MATCH,different_entity,high,Supplier Corp 57,Different Supplier Inc,INV-10057,INV-10057,43104.78,43104.78,2023-07-04,2023-07-04,27AAAAA1057A1Z5,27BBBBB1234B1Z5
pkt-58,EXACT_MATCH,none,none,Supplier Ltd 58,Supplier Ltd 58,INV-10058,INV-10058,29766.51,29766.51,2023-10-03,2023-10-03,27AAAAA1058A1Z5,27AAAAA1058A1Z5
pkt-59,FUZZY_MATCH,date_shift,medium,Supplier LLC 59,Supplier LLC 59,INV-10059,INV-10059,29225.25,29225.25,2023-09-11,2023-09-16,27AAAAA1059A1Z5,27AAAAA1059A1Z5
pkt-60,FUZZY_MATCH,ocr_artifacts,medium,Supplier Ltd 60,Supplier Ltd 60,INV-10060,INV-IOO6O,35837.97,35837.98,2023-04-09,2023-04-09,27AAAAA1060A1Z5,27AAAAA1060A1Z5
pkt-61,FUZZY_MATCH,string_distance,low,Supplier LLC 61,Suplier LLC 61,INV-10061,INV10061,33617.34,33617.34,2023-05-15,2023-05-15,27AAAAA1061A1Z5,27AAAAA1061A1Z5
pkt-62,FUZZY_MATCH,string_distance,low,Supplier Inc 62,Suplier Inc 62,INV-10062,INV10062,564.84,564.84,2023-10-19,2023-10-19,27AAAAA1062A1Z5,27AAAAA1062A1Z5
pkt-63,NO_MATCH,invalid_gstin_suffix,high,Supplier Corp 63,Supplier Corp 63,INV-10063,INV-10063,26927.96,26927.96,2023-09-09,2023-09-09,27AAAAA1063A1Z5,27AAAAA1063A1ZX
pkt-64,FUZZY_MATCH,ocr_artifacts,medium,Supplier LLC 64,Supplier LLC 64,INV-10064,INV-IOO64,44055.12,44055.13,2023-04-12,2023-04-12,27AAAAA1064A1Z5,27AAAAA1064A1Z5
pkt-65,NO_MATCH,different_entity,high,Supplier LLC 65,Different Supplier Inc,INV-10065,INV-10065,21965.41,21965.41,2023-09-23,2023-09-23,27AAAAA1065A1Z5,27BBBBB1234B1Z5
pkt-66,EXACT_MATCH,none,none,Supplier Inc 66,Supplier Inc 66,INV-10066,INV-10066,49194.28,49194.28,2023-11-17,2023-11-17,27AAAAA1066A1Z5,27AAAAA1066A1Z5
pkt-67,FUZZY_MATCH,ocr_artifacts,medium,Supplier Inc 67,Supplier Inc 67,INV-10067,INV-IOO67,40873.5,40873.51,2023-05-22,2023-05-22,27AAAAA1067A1Z5,27AAAAA1067A1Z5
pkt-68,FUZZY_MATCH,minor_amount_diff,low,Supplier Corp 68,Supplier Corp 68,INV-10068,INV-10068,13296.85,13297.85,2023-02-24,2023-02-24,27AAAAA1068A1Z5,27AAAAA1068A1Z5
pkt-69,EXACT_MATCH,none,none,Supplier Corp 69,Supplier Corp 69,INV-10069,INV-10069,30281.01,30281.01,2023-12-11,2023-12-11,27AAAAA1069A1Z5,27AAAAA1069A1Z5
pkt-70,FUZZY_MATCH,minor_amount_diff,low,Supplier Ltd 70,Supplier Ltd 70,INV-10070,INV-10070,31748.47,31747.47,2023-05-17,2023-05-17,27AAAAA1070A1Z5,27AAAAA1070A1Z5
pkt-71,EXACT_MATCH,none,none,Supplier LLC 71,Supplier LLC 71,INV-10071,INV-10071,4705.69,4705.69,2023-07-27,2023-07-27,27AAAAA1071A1Z5,27AAAAA1071A1Z5
pkt-72,FUZZY_MATCH,ocr_artifacts,medium,Supplier LLC 72,Supplier LLC 72,INV-10072,INV-IOO72,276.93,276.94,2023-03-21,2023-03-21,27AAAAA1072A1Z5,27AAAAA1072A1Z5
pkt-73,CONTRADICTION,major_amount_diff,high,Supplier Ltd 73,Supplier Ltd 73,INV-10073,INV-10073,37087.42,74174.840,2023-09-23,2023-09-23,27AAAAA1073A1Z5,27AAAAA1073A1Z5
pkt-74,CONTRADICTION,major_amount_diff,high,Supplier Corp 74,Supplier Corp 74,INV-10074,INV-10074,582.52,1165.040,2023-02-23,2023-02-23,27AAAAA1074A1Z5,27AAAAA1074A1Z5
pkt-75,EXACT_MATCH,none,none,Supplier Corp 75,Supplier Corp 75,INV-10075,INV-10075,1897.8,1897.8,2023-06-19,2023-06-19,27AAAAA1075A1Z5,27AAAAA1075A1Z5
pkt-76,NO_MATCH,invalid_gstin_suffix,high,Supplier Inc 76,Supplier Inc 76,INV-10076,INV-10076,6459.53,6459.53,2023-05-12,2023-05-12,27AAAAA1076A1Z5,27AAAAA1076A1ZX
pkt-77,NO_MATCH,invalid_gstin_suffix,high,Supplier Inc 77,Supplier Inc 77,INV-10077,INV-10077,10582.82,10582.82,2023-04-22,2023-04-22,27AAAAA1077A1Z5,27AAAAA1077A1ZX
pkt-78,FUZZY_MATCH,date_shift,medium,Supplier Corp 78,Supplier Corp 78,INV-10078,INV-10078,39027.8,39027.8,2023-07-20,2023-07-17,27AAAAA1078A1Z5,27AAAAA1078A1Z5
pkt-79,FUZZY_MATCH,ocr_artifacts,medium,Supplier Inc 79,Supplier Inc 79,INV-10079,INV-IOO79,48812.68,48812.69,2023-03-14,2023-03-14,27AAAAA1079A1Z5,27AAAAA1079A1Z5
pkt-80,EXACT_MATCH,none,none,Supplier Ltd 80,Supplier Ltd 80,INV-10080,INV-10080,36854.57,36854.57,2023-06-26,2023-06-26,27AAAAA1080A1Z5,27AAAAA1080A1Z5
pkt-81,EXACT_MATCH,none,none,Supplier Corp 81,Supplier Corp 81,INV-10081,INV-10081,43216.8,43216.8,2023-04-09,2023-04-09,27AAAAA1081A1Z5,27AAAAA1081A1Z5
pkt-82,FUZZY_MATCH,date_shift,medium,Supplier Ltd 82,Supplier Ltd 82,INV-10082,INV-10082,5493.97,5493.97,2023-01-28,2023-01-26,27AAAAA1082A1Z5,27AAAAA1082A1Z5
pkt-83,FUZZY_MATCH,date_shift,medium,Supplier LLC 83,Supplier LLC 83,INV-10083,INV-10083,40847.67,40847.67,2023-08-12,2023-08-10,27AAAAA1083A1Z5,27AAAAA1083A1Z5
pkt-84,FUZZY_MATCH,minor_amount_diff,low,Supplier LLC 84,Supplier LLC 84,INV-10084,INV-10084,1280.86,1279.86,2023-04-13,2023-04-13,27AAAAA1084A1Z5,27AAAAA1084A1Z5
pkt-85,EXACT_MATCH,none,none,Supplier Ltd 85,Supplier Ltd 85,INV-10085,INV-10085,48347.77,48347.77,2023-05-12,2023-05-12,27AAAAA1085A1Z5,27AAAAA1085A1Z5
pkt-86,FUZZY_MATCH,string_distance,low,Supplier Inc 86,Suplier Inc 86,INV-10086,INV10086,49059.37,49059.37,2023-09-11,2023-09-11,27AAAAA1086A1Z5,27AAAAA1086A1Z5
pkt-87,EXACT_MATCH,none,none,Supplier LLC 87,Supplier LLC 87,INV-10087,INV-10087,43864.22,43864.22,2023-05-06,2023-05-06,27AAAAA1087A1Z5,27AAAAA1087A1Z5
pkt-88,EXACT_MATCH,none,none,Supplier LLC 88,Supplier LLC 88,INV-10088,INV-10088,5509.29,5509.29,2023-07-12,2023-07-12,27AAAAA1088A1Z5,27AAAAA1088A1Z5
pkt-89,NO_MATCH,different_entity,high,Supplier Ltd 89,Different Supplier Inc,INV-10089,INV-10089,30349.82,30349.82,2023-09-04,2023-09-04,27AAAAA1089A1Z5,27BBBBB1234B1Z5
pkt-90,EXACT_MATCH,none,none,Supplier Ltd 90,Supplier Ltd 90,INV-10090,INV-10090,9584.93,9584.93,2023-01-23,2023-01-23,27AAAAA1090A1Z5,27AAAAA1090A1Z5
pkt-91,NO_MATCH,invalid_gstin_suffix,high,Supplier Corp 91,Supplier Corp 91,INV-10091,INV-10091,26044.03,26044.03,2023-09-22,2023-09-22,27AAAAA1091A1Z5,27AAAAA1091A1ZX
pkt-92,EXACT_MATCH,none,none,Supplier LLC 92,Supplier LLC 92,INV-10092,INV-10092,21621.74,21621.74,2023-11-11,2023-11-11,27AAAAA1092A1Z5,27AAAAA1092A1Z5
pkt-93,EXACT_MATCH,none,none,Supplier LLC 93,Supplier LLC 93,INV-10093,INV-10093,42415.96,42415.96,2023-12-10,2023-12-10,27AAAAA1093A1Z5,27AAAAA1093A1Z5
pkt-94,CONTRADICTION,major_amount_diff,high,Supplier LLC 94,Supplier LLC 94,INV-10094,INV-10094,20478.81,40957.620,2023-07-23,2023-07-23,27AAAAA1094A1Z5,27AAAAA1094A1Z5
pkt-95,EXACT_MATCH,none,none,Supplier Ltd 95,Supplier Ltd 95,INV-10095,INV-10095,6451.66,6451.66,2023-07-22,2023-07-22,27AAAAA1095A1Z5,27AAAAA1095A1Z5
pkt-96,EXACT_MATCH,none,none,Supplier LLC 96,Supplier LLC 96,INV-10096,INV-10096,37431.91,37431.91,2023-03-20,2023-03-20,27AAAAA1096A1Z5,27AAAAA1096A1Z5
pkt-97,FUZZY_MATCH,date_shift,medium,Supplier LLC 97,Supplier LLC 97,INV-10097,INV-10097,27442.07,27442.07,2023-01-10,2023-01-11,27AAAAA1097A1Z5,27AAAAA1097A1Z5
pkt-98,NO_MATCH,missing_record,high,Supplier LLC 98,,INV-10098,,39309.37,,2023-10-21,,27AAAAA1098A1Z5,
pkt-99,EXACT_MATCH,none,none,Supplier Ltd 99,Supplier Ltd 99,INV-10099,INV-10099,22145.12,22145.12,2023-11-07,2023-11-07,27AAAAA1099A1Z5,27AAAAA1099A1Z5
pkt-100,FUZZY_MATCH,string_distance,low,Supplier LLC 100,Suplier LLC 100,INV-10100,INV10100,8567.6,8567.6,2023-02-10,2023-02-10,27AAAAA1100A1Z5,27AAAAA1100A1Z5
pkt-101,FUZZY_MATCH,date_shift,medium,Supplier LLC 101,Supplier LLC 101,INV-10101,INV-10101,40939.33,40939.33,2023-04-22,2023-04-20,27AAAAA1101A1Z5,27AAAAA1101A1Z5
pkt-102,NO_MATCH,different_entity,high,Supplier Ltd 102,Different Supplier Inc,INV-10102,INV-10102,7452.96,7452.96,2023-01-08,2023-01-08,27AAAAA1102A1Z5,27BBBBB1234B1Z5
pkt-103,EXACT_MATCH,none,none,Supplier Ltd 103,Supplier Ltd 103,INV-10103,INV-10103,42501.91,42501.91,2023-02-15,2023-02-15,27AAAAA1103A1Z5,27AAAAA1103A1Z5
pkt-104,NO_MATCH,missing_record,high,Supplier Ltd 104,,INV-10104,,28825.98,,2023-12-23,,27AAAAA1104A1Z5,
pkt-105,FUZZY_MATCH,string_distance,low,Supplier Inc 105,Suplier Inc 105,INV-10105,INV10105,20042.68,20042.68,2023-03-21,2023-03-21,27AAAAA1105A1Z5,27AAAAA1105A1Z5
pkt-106,EXACT_MATCH,none,none,Supplier Ltd 106,Supplier Ltd 106,INV-10106,INV-10106,38943.18,38943.18,2023-04-06,2023-04-06,27AAAAA1106A1Z5,27AAAAA1106A1Z5
pkt-107,NO_MATCH,missing_record,high,Supplier Corp 107,,INV-10107,,27914.55,,2023-02-15,,27AAAAA1107A1Z5,
pkt-108,NO_MATCH,missing_record,high,Supplier LLC 108,,INV-10108,,33412.13,,2023-09-20,,27AAAAA1108A1Z5,
pkt-109,CONTRADICTION,major_amount_diff,high,Supplier Ltd 109,Supplier Ltd 109,INV-10109,INV-10109,30671.35,61342.700,2023-12-17,2023-12-17,27AAAAA1109A1Z5,27AAAAA1109A1Z5
pkt-110,NO_MATCH,missing_record,high,Supplier Ltd 110,,INV-10110,,22351.09,,2023-03-24,,27AAAAA1110A1Z5,
pkt-111,CONTRADICTION,major_amount_diff,high,Supplier LLC 111,Supplier LLC 111,INV-10111,INV-10111,13033.66,26067.320,2023-04-27,2023-04-27,27AAAAA1111A1Z5,27AAAAA1111A1Z5
pkt-112,FUZZY_MATCH,string_distance,low,Supplier Ltd 112,Suplier Ltd 112,INV-10112,INV10112,24281.39,24281.39,2023-04-09,2023-04-09,27AAAAA1112A1Z5,27AAAAA1112A1Z5
pkt-113,NO_MATCH,invalid_gstin_suffix,high,Supplier LLC 113,Supplier LLC 113,INV-10113,INV-10113,35705.89,35705.89,2023-04-09,2023-04-09,27AAAAA1113A1Z5,27AAAAA1113A1ZX
pkt-114,FUZZY_MATCH,date_shift,medium,Supplier Corp 114,Supplier Corp 114,INV-10114,INV-10114,44662.04,44662.04,2023-02-05,2023-02-06,27AAAAA1114A1Z5,27AAAAA1114A1Z5
pkt-115,EXACT_MATCH,none,none,Supplier Inc 115,Supplier Inc 115,INV-10115,INV-10115,34728.1,34728.1,2023-12-07,2023-12-07,27AAAAA1115A1Z5,27AAAAA1115A1Z5
pkt-116,EXACT_MATCH,none,none,Supplier Ltd 116,Supplier Ltd 116,INV-10116,INV-10116,20439.21,20439.21,2023-09-15,2023-09-15,27AAAAA1116A1Z5,27AAAAA1116A1Z5
pkt-117,NO_MATCH,different_entity,high,Supplier Inc 117,Different Supplier Inc,INV-10117,INV-10117,10421.04,10421.04,2023-07-13,2023-07-13,27AAAAA1117A1Z5,27BBBBB1234B1Z5
pkt-118,EXACT_MATCH,none,none,Supplier LLC 118,Supplier LLC 118,INV-10118,INV-10118,19081.01,19081.01,2023-01-12,2023-01-12,27AAAAA1118A1Z5,27AAAAA1118A1Z5
pkt-119,NO_MATCH,missing_record,high,Supplier Corp 119,,INV-10119,,42687.05,,2023-07-18,,27AAAAA1119A1Z5,
pkt-120,EXACT_MATCH,none,none,Supplier Inc 120,Supplier Inc 120,INV-10120,INV-10120,11049.14,11049.14,2023-07-16,2023-07-16,27AAAAA1120A1Z5,27AAAAA1120A1Z5
pkt-121,EXACT_MATCH,none,none,Supplier Ltd 121,Supplier Ltd 121,INV-10121,INV-10121,16872.86,16872.86,2023-11-26,2023-11-26,27AAAAA1121A1Z5,27AAAAA1121A1Z5
pkt-122,EXACT_MATCH,none,none,Supplier Inc 122,Supplier Inc 122,INV-10122,INV-10122,8335.73,8335.73,2023-08-05,2023-08-05,27AAAAA1122A1Z5,27AAAAA1122A1Z5
pkt-123,EXACT_MATCH,none,none,Supplier Inc 123,Supplier Inc 123,INV-10123,INV-10123,29635.45,29635.45,2023-11-01,2023-11-01,27AAAAA1123A1Z5,27AAAAA1123A1Z5
pkt-124,FUZZY_MATCH,minor_amount_diff,low,Supplier Inc 124,Supplier Inc 124,INV-10124,INV-10124,21487.78,21490.28,2023-08-06,2023-08-06,27AAAAA1124A1Z5,27AAAAA1124A1Z5
pkt-125,EXACT_MATCH,none,none,Supplier LLC 125,Supplier LLC 125,INV-10125,INV-10125,16434.9,16434.9,2023-08-11,2023-08-11,27AAAAA1125A1Z5,27AAAAA1125A1Z5
pkt-126,NO_MATCH,missing_record,high,Supplier Inc 126,,INV-10126,,13985.01,,2023-07-09,,27AAAAA1126A1Z5,
pkt-127,FUZZY_MATCH,date_shift,medium,Supplier LLC 127,Supplier LLC 127,INV-10127,INV-10127,1067.23,1067.23,2023-09-02,2023-09-07,27AAAAA1127A1Z5,27AAAAA1127A1Z5
pkt-128,FUZZY_MATCH,date_shift,medium,Supplier Inc 128,Supplier Inc 128,INV-10128,INV-10128,3524.06,3524.06,2023-11-02,2023-10-31,27AAAAA1128A1Z5,27AAAAA1128A1Z5
pkt-129,FUZZY_MATCH,ocr_artifacts,medium,Supplier Corp 129,Supplier Corp 129,INV-10129,INV-IOI29,41977.52,41977.53,2023-10-05,2023-10-05,27AAAAA1129A1Z5,27AAAAA1129A1Z5
pkt-130,NO_MATCH,missing_record,high,Supplier Corp 130,,INV-10130,,23730.7,,2023-02-19,,27AAAAA1130A1Z5,
pkt-131,FUZZY_MATCH,ocr_artifacts,medium,Supplier Inc 131,Supplier Inc 131,INV-10131,INV-IOI3I,35003.3,35003.31,2023-06-06,2023-06-06,27AAAAA1131A1Z5,27AAAAA1131A1Z5
pkt-132,FUZZY_MATCH,minor_amount_diff,low,Supplier Inc 132,Supplier Inc 132,INV-10132,INV-10132,48239.57,48242.07,2023-02-19,2023-02-19,27AAAAA1132A1Z5,27AAAAA1132A1Z5
