pr_gstin,gstr2b_gstin,pr_supplier_name,gstr2b_supplier_name,pr_invoice_no,gstr2b_invoice_no,pr_date,gstr2b_date,pr_taxable,gstr2b_taxable,pr_igst,gstr2b_igst,pr_node_degree,gst_node_degree,component_size,label
07ABCDE8145F1Z5,07ABCDE8145F1Z5,Supplier 16,Supplier 16,INV-00016,INV-00016,2026-06-02,2026-06-02,14014,14014,2522.52,2522.52,1,1,2,EXACT_MATCH
07ABCDE6924F1Z5,07ABCDE6924F1Z5,Supplier 17,Supplier 17,INV-00017,INV-00017,2026-05-14,2026-05-14,51629,51629,9293.22,9293.22,1,1,2,EXACT_MATCH
07ABCDE8032F1Z5,07ABCDE8032F1Z5,Supplier 18,Supplier 18,INV-00018,INV-00018,2026-03-25,2026-03-25,8565,8565,1541.70,1541.70,1,1,2,EXACT_MATCH
07ABCDE9736F1Z5,07ABCDE9736F1Z5,Supplier 19,Supplier 19,INV-00019,INV-00019,2026-06-23,2026-06-23,81322,81322,14637.96,14637.96,1,1,2,EXACT_MATCH
07ABCDE9179F1Z5,07ABCDE9179F1Z5,Supplier 20,Supplier 20,INV-00020,INV-00020,2026-07-22,2026-07-22,63584,63584,11445.12,11445.12,1,1,2,EXACT_MATCH
07ABCDE1006F1Z5,07ABCDE1006F1Z5,Supplier 21,Supplier 21,INV-00021,INV-00021,2026-02-10,2026-02-10,6957,6957,1252.26,1252.26,1,1,2,EXACT_MATCH
07ABCDE6692F1Z5,07ABCDE6692F1Z5,Supplier 22,Supplier 22,INV-00022,INV-00022,2026-10-29,2026-10-29,76884,76884,13839.12,13839.12,1,1,2,EXACT_MATCH
07ABCDE4575F1Z5,07ABCDE4575F1Z5,Supplier 23,Supplier 23,INV-00023,INV-00023,2026-04-09,2026-04-09,60412,60412,10874.16,10874.16,1,1,2,EXACT_MATCH
07ABCDE4898F1Z5,07ABCDE4898F1Z5,Supplier 24,Supplier 24,INV-00024,INV-00024,2026-02-14,2026-02-14,17411,17411,3133.98,3133.98,1,1,2,EXACT_MATCH
07ABCDE7722F1Z5,07ABCDE7722F1Z5,Supplier 25,Supplier 25,INV-00025,INV-00025,2026-05-13,2026-05-13,14034,14034,2526.12,2526.12,1,1,2,EXACT_MATCH
07ABCDE4405F1Z5,07ABCDE4405F1Z5,Supplier 26,Supplier 26,INV-00026,INV-00026,2026-10-05,2026-10-05,53253,53253,9585.54,9585.54,1,1,2,EXACT_MATCH
07ABCDE8619F1Z5,07ABCDE8619F1Z5,Supplier 27,Supplier 27,INV-00027,INV-00027,2026-01-03,2026-01-03,2153,2153,387.54,387.54,1,1,2,EXACT_MATCH
07ABCDE2100F1Z5,07ABCDE2100F1Z5,Supplier 28,Supplier 28,INV-00028,INV-00028,2026-06-11,2026-06-11,6596,6596,1187.28,1187.28,1,1,2,EXACT_MATCH
07ABCDE3014F1Z5,07ABCDE3014F1Z5,Supplier 29,Supplier 29,INV-00029,INV-00029,2026-03-01,2026-03-01,93833,93833,16889.94,16889.94,1,1,2,EXACT_MATCH
07ABCDE7594F1Z5,07ABCDE7594F1Z5,Supplier 30,Supplier 30,INV-00030,INV-00030,2026-01-07,2026-01-07,95199,95199,17135.82,17135.82,1,1,2,EXACT_MATCH
07ABCDE4994F1Z5,07ABCDE4994F1Z5,Supplier 31,Supplier 31,INV-00031,INV-00031,2026-02-17,2026-02-17,9574,9574,1723.32,1723.32,1,1,2,EXACT_MATCH
07ABCDE1835F1Z5,07ABCDE1835F1Z5,Supplier 32,Supplier 32,INV-00032,INV-00032,2026-03-23,2026-03-23,48621,48621,8751.78,8751.78,1,1,2,EXACT_MATCH
07ABCDE3492F1Z5,07ABCDE3492F1Z5,Supplier 33,Supplier 33,INV-00033,INV-00033,2026-04-01,2026-04-01,49054,49054,8829.72,8829.72,1,1,2,EXACT_MATCH
07ABCDE6575F1Z5,07ABCDE6575F1Z5,Supplier 34,Supplier 34,INV-00034,INV-00034,2026-12-27,2026-12-27,18459,18459,3322.62,3322.62,1,1,2,EXACT_MATCH
07ABCDE9189F1Z5,07ABCDE9189F1Z5,Supplier 35,Supplier 35,INV-00035,INV-00035,2026-08-29,2026-08-29,57171,57171,10290.78,10290.78,1,1,2,EXACT_MATCH
07ABCDE3040F1Z5,07ABCDE3040F1Z5,Supplier 36,Supplier 36,INV-00036,INV-00036,2026-11-25,2026-11-25,88217,88217,15879.06,15879.06,1,1,2,EXACT_MATCH
07ABCDE8534F1Z5,07ABCDE8534F1Z5,Supplier 37,Supplier 37,INV-00037,INV-00037,2026-10-02,2026-10-02,13768,13768,2478.24,2478.24,1,1,2,EXACT_MATCH
07ABCDE2972F1Z5,07ABCDE2972F1Z5,Supplier 38,Supplier 38,INV-00038,INV-00038,2026-04-16,2026-04-16,14642,14642,2635.56,2635.56,1,1,2,EXACT_MATCH
07ABCDE2723F1Z5,07ABCDE2723F1Z5,Supplier 39,Supplier 39,INV-00039,INV-00039,2026-12-18,2026-12-18,36116,36116,6500.88,6500.88,1,1,2,EXACT_MATCH
07ABCDE2240F1Z5,07ABCDE2240F1Z5,Supplier 40,Supplier 40,INV-00040,INV-00040,2026-07-31,2026-07-31,37749,37749,6794.82,6794.82,1,1,2,EXACT_MATCH
07ABCDE5727F1Z5,07ABCDE5727F1Z5,Supplier 41,Supplier 41,INV-00041,INV-00041,2026-09-10,2026-09-10,92055,92055,16569.90,16569.90,1,1,2,EXACT_MATCH
07ABCDE9522F1Z5,07ABCDE9522F1Z5,Supplier 42,Supplier 42,INV-00042,INV-00042,2026-06-27,2026-06-27,73811,73811,13285.98,13285.98,1,1,2,EXACT_MATCH
07ABCDE6714F1Z5,07ABCDE6714F1Z5,Supplier 43,Supplier 43,INV-00043,INV-00043,2026-03-18,2026-03-18,80358,80358,14464.44,14464.44,1,1,2,EXACT_MATCH
07ABCDE2820F1Z5,07ABCDE2820F1Z5,Supplier 44,Supplier 44,INV-00044,INV-00044,2026-08-31,2026-08-31,97461,97461,17542.98,17542.98,1,1,2,EXACT_MATCH
07ABCDE7635F1Z5,07ABCDE7635F1Z5,Supplier 45,Supplier 45,INV-00045,INV-00045,2026-06-17,2026-06-17,2684,2684,483.12,483.12,1,1,2,EXACT_MATCH
07ABCDE1837F1Z5,07ABCDE1837F1Z5,Supplier 46,Supplier 46,INV-00046,INV-00046,2026-02-03,2026-02-03,42342,42342,7621.56,7621.56,1,1,2,EXACT_MATCH
07ABCDE7885F1Z5,07ABCDE7885F1Z5,Supplier 47,Supplier 47,INV-00047,INV-00047,2026-12-27,2026-12-27,63300,63300,11394.00,11394.00,1,1,2,EXACT_MATCH
07ABCDE6273F1Z5,07ABCDE6273F1Z5,Supplier 48,Supplier 48,INV-00048,INV-00048,2026-01-16,2026-01-16,37562,37562,6761.16,6761.16,1,1,2,EXACT_MATCH
07ABCDE8843F1Z5,07ABCDE8843F1Z5,Supplier 49,Supplier 49,INV-00049,INV-00049,2026-02-06,2026-02-06,75695,75695,13625.10,13625.10,1,1,2,EXACT_MATCH
07ABCDE2035F1Z5,07ABCDE2035F1Z5,Supplier 50,Supplier 50,INV-00050,INV-00050,2026-05-01,2026-05-01,94648,94648,17036.64,17036.64,1,1,2,EXACT_MATCH
07ABCDE2608F1Z5,07ABCDE2608F1Z5,Supplier 51,Supplier 51,INV-00051,INV-00051,2026-02-09,2026-02-09,18712,18712,3368.16,3368.16,1,1,2,EXACT_MATCH
07ABCDE5325F1Z5,07ABCDE5325F1Z5,Supplier 52,Supplier 52,INV-00052,INV-00052,2026-06-24,2026-06-24,21132,21132,3803.76,3803.76,1,1,2,EXACT_MATCH
07ABCDE1180F1Z5,07ABCDE1180F1Z5,Supplier 53,Supplier 53,INV-00053,INV-00053,2026-01-05,2026-01-05,82908,82908,14923.44,14923.44,1,1,2,EXACT_MATCH
07ABCDE5068F1Z5,07ABCDE5068F1Z5,Supplier 54,Supplier 54,INV-00054,INV-00054,2026-08-31,2026-08-31,1948,1948,350.64,350.64,1,1,2,EXACT_MATCH
07ABCDE8954F1Z5,07ABCDE8954F1Z5,Supplier 55,Supplier 55,INV-00055,INV-00055,2026-07-15,2026-07-15,43384,43384,7809.12,7809.12,1,1,2,EXACT_MATCH
07ABCDE5748F1Z5,07ABCDE5748F1Z5,Supplier 56,Supplier 56,INV-00056,INV-00056,2026-10-31,2026-10-31,76671,76671,13800.78,13800.78,1,1,2,EXACT_MATCH
07ABCDE4518F1Z5,07ABCDE4518F1Z5,Supplier 57,Supplier 57,INV-00057,INV-00057,2026-04-25,2026-04-25,13372,13372,2406.96,2406.96,1,1,2,EXACT_MATCH
07ABCDE7053F1Z5,07ABCDE7053F1Z5,Supplier 58,Supplier 58,INV-00058,INV-00058,2026-11-07,2026-11-07,18089,18089,3256.02,3256.02,1,1,2,EXACT_MATCH
07ABCDE7983F1Z5,07ABCDE7983F1Z5,Supplier 59,Supplier 59,INV-00059,INV-00059,2026-04-13,2026-04-13,65366,65366,11765.88,11765.88,1,1,2,EXACT_MATCH
07ABCDE8691F1Z5,07ABCDE8691F1Z5,Supplier 60,Supplier 60,INV-00060,INV-00060,2026-11-17,2026-11-17,17167,17167,3090.06,3090.06,1,1,2,EXACT_MATCH
07ABCDE4505F1Z5,07ABCDE4505F1Z5,Supplier 61,Supplier 61,INV-00061,INV-00061,2026-08-27,2026-08-27,62961,62961,11332.98,11332.98,1,1,2,EXACT_MATCH
07ABCDE9440F1Z5,07ABCDE9440F1Z5,Supplier 62,Supplier 62,INV-00062,INV-00062,2026-04-15,2026-04-15,8226,8226,1480.68,1480.68,1,1,2,EXACT_MATCH
07ABCDE5821F1Z5,07ABCDE5821F1Z5,Supplier 63,Supplier 63,INV-00063,INV-00063,2026-09-20,2026-09-20,82772,82772,14898.96,14898.96,1,1,2,EXACT_MATCH
07ABCDE5747F1Z5,07ABCDE5747F1Z5,Supplier 64,Supplier 64,INV-00064,INV-00064,2026-08-08,2026-08-08,54070,54070,9732.60,9732.60,1,1,2,EXACT_MATCH
07ABCDE7663F1Z5,07ABCDE7663F1Z5,Supplier 65,Supplier 65,INV-00065,INV-00065,2026-07-02,2026-07-02,22858,22858,4114.44,4114.44,1,1,2,EXACT_MATCH
07ABCDE7775F1Z5,07ABCDE7775F1Z5,Supplier 66,Supplier 66,INV-00066,INV-00066,2026-07-13,2026-07-13,49250,49250,8865.00,8865.00,1,1,2,EXACT_MATCH
07ABCDE2171F1Z5,07ABCDE2171F1Z5,Supplier 67,Supplier 67,INV-00067,INV-00067,2026-12-26,2026-12-26,96855,96855,17433.90,17433.90,1,1,2,EXACT_MATCH
07ABCDE6963F1Z5,07ABCDE6963F1Z5,Supplier 68,Supplier 68,INV-00068,INV-00068,2026-11-02,2026-11-02,61275,61275,11029.50,11029.50,1,1,2,EXACT_MATCH
07ABCDE9264F1Z5,07ABCDE9264F1Z5,Supplier 69,Supplier 69,INV-00069,INV-00069,2026-01-16,2026-01-16,68694,68694,12364.92,12364.92,1,1,2,EXACT_MATCH
07ABCDE2143F1Z5,07ABCDE2143F1Z5,Supplier 70,Supplier 70,INV-00070,INV-00070,2026-07-16,2026-07-16,4871,4871,876.78,876.78,1,1,2,EXACT_MATCH
07ABCDE6019F1Z5,07ABCDE6019F1Z5,Supplier 71,Supplier 71,INV-00071,INV-00071,2026-09-11,2026-09-11,95109,95109,17119.62,17119.62,1,1,2,EXACT_MATCH
07ABCDE4378F1Z5,07ABCDE4378F1Z5,Supplier 72,Supplier 72,INV-00072,INV-00072,2026-06-19,2026-06-19,22995,22995,4139.10,4139.10,1,1,2,EXACT_MATCH
07ABCDE9505F1Z5,07ABCDE9505F1Z5,Supplier 73,Supplier 73,INV-00073,INV-00073,2026-07-27,2026-07-27,5980,5980,1076.40,1076.40,1,1,2,EXACT_MATCH
07ABCDE9566F1Z5,07ABCDE9566F1Z5,Supplier 74,Supplier 74,INV-00074,INV-00074,2026-01-09,2026-01-09,55101,55101,9918.18,9918.18,1,1,2,EXACT_MATCH
07ABCDE9532F1Z5,07ABCDE9532F1Z5,Supplier 75,Supplier 75,INV-00075,INV-00075,2026-09-07,2026-09-07,85792,85792,15442.56,15442.56,1,1,2,EXACT_MATCH
07ABCDE1361F1Z5,07ABCDE1361F1Z5,Supplier 76,Supplier 76,INV-00076,INV-00076,2026-12-25,2026-12-25,1457,1457,262.26,262.26,1,1,2,EXACT_MATCH
07ABCDE1312F1Z5,07ABCDE1312F1Z5,Supplier 77,Supplier 77,INV-00077,INV-00077,2026-03-11,2026-03-11,83985,83985,15117.30,15117.30,1,1,2,EXACT_MATCH
07ABCDE8487F1Z5,07ABCDE8487F1Z5,Supplier 78,Supplier 78,INV-00078,INV-00078,2026-10-23,2026-10-23,86919,86919,15645.42,15645.42,1,1,2,EXACT_MATCH
07ABCDE6858F1Z5,07ABCDE6858F1Z5,Supplier 79,Supplier 79,INV-00079,INV-00079,2026-11-04,2026-11-04,82109,82109,14779.62,14779.62,1,1,2,EXACT_MATCH
07ABCDE4269F1Z5,07ABCDE4269F1Z5,Supplier 80,Supplier 80,INV-00080,INV-00080,2026-03-28,2026-03-28,87438,87438,15738.84,15738.84,1,1,2,EXACT_MATCH
07ABCDE1008F1Z5,07ABCDE1008F1Z5,Supplier 81,Supplier 81,INV-00081,INV-00081,2026-03-02,2026-03-02,80719,80719,14529.42,14529.42,1,1,2,EXACT_MATCH
07ABCDE7505F1Z5,07ABCDE7505F1Z5,Supplier 82,Supplier 82,INV-00082,INV-00082,2026-01-11,2026-01-11,14806,14806,2665.08,2665.08,1,1,2,EXACT_MATCH
07ABCDE9172F1Z5,07ABCDE9172F1Z5,Supplier 83,Supplier 83,INV-00083,INV-00083,2026-10-16,2026-10-16,79920,79920,14385.60,14385.60,1,1,2,EXACT_MATCH
07ABCDE5843F1Z5,07ABCDE5843F1Z5,Supplier 84,Supplier 84,INV-00084,INV-00084,2026-02-09,2026-02-09,42192,42192,7594.56,7594.56,1,1,2,EXACT_MATCH
07ABCDE4502F1Z5,07ABCDE4502F1Z5,Supplier 85,Supplier 85,INV-00085,INV-00085,2026-03-05,2026-03-05,47580,47580,8564.40,8564.40,1,1,2,EXACT_MATCH
07ABCDE6392F1Z5,07ABCDE6392F1Z5,Supplier 86,Supplier 86,INV-00086,INV-00086,2026-11-01,2026-11-01,48907,48907,8803.26,8803.26,1,1,2,EXACT_MATCH
07ABCDE2049F1Z5,07ABCDE2049F1Z5,Supplier 87,Supplier 87,INV-00087,INV-00087,2026-12-26,2026-12-26,80371,80371,14466.78,14466.78,1,1,2,EXACT_MATCH
07ABCDE5672F1Z5,07ABCDE5672F1Z5,Supplier 88,Supplier 88,INV-00088,INV-00088,2026-01-04,2026-01-04,78785,78785,14181.30,14181.30,1,1,2,EXACT_MATCH
07ABCDE3061F1Z5,07ABCDE3061F1Z5,Supplier 89,Supplier 89,INV-00089,INV-00089,2026-01-26,2026-01-26,16687,16687,3003.66,3003.66,1,1,2,EXACT_MATCH
07ABCDE9632F1Z5,07ABCDE9632F1Z5,Supplier 90,Supplier 90,INV-00090,INV-00090,2026-09-04,2026-09-04,61694,61694,11104.92,11104.92,1,1,2,EXACT_MATCH
07ABCDE3030F1Z5,07ABCDE3030F1Z5,Supplier 91,Supplier 91,INV-00091,INV-00091,2026-04-19,2026-04-19,3366,3366,605.88,605.88,1,1,2,EXACT_MATCH
07ABCDE9279F1Z5,07ABCDE9279F1Z5,Supplier 92,Supplier 92,INV-00092,INV-00092,2026-12-06,2026-12-06,84869,84869,15276.42,15276.42,1,1,2,EXACT_MATCH
07ABCDE4676F1Z5,07ABCDE4676F1Z5,Supplier 93,Supplier 93,INV-00093,INV-00093,2026-06-24,2026-06-24,83415,83415,15014.70,15014.70,1,1,2,EXACT_MATCH
07ABCDE5797F1Z5,07ABCDE5797F1Z5,Supplier 94,Supplier 94,INV-00094,INV-00094,2026-11-14,2026-11-14,65116,65116,11720.88,11720.88,1,1,2,EXACT_MATCH
07ABCDE6174F1Z5,07ABCDE6174F1Z5,Supplier 95,Supplier 95,INV-00095,INV-00095,2026-04-26,2026-04-26,53534,53534,9636.12,9636.12,1,1,2,EXACT_MATCH
07ABCDE3059F1Z5,07ABCDE3059F1Z5,Supplier 96,Supplier 96,INV-00096,INV-00096,2026-10-03,2026-10-03,42290,42290,7612.20,7612.20,1,1,2,EXACT_MATCH
07ABCDE9043F1Z5,07ABCDE9043F1Z5,Supplier 97,Supplier 97,INV-00097,INV-00097,2026-11-29,2026-11-29,53488,53488,9627.84,9627.84,1,1,2,EXACT_MATCH
07ABCDE1249F1Z5,07ABCDE1249F1Z5,Supplier 98,Supplier 98,INV-00098,INV-00098,2026-01-09,2026-01-09,43636,43636,7854.48,7854.48,1,1,2,EXACT_MATCH
07ABCDE2063F1Z5,07ABCDE2063F1Z5,Supplier 99,Supplier 99,INV-00099,INV-00099,2026-09-08,2026-09-08,97539,97539,17557.02,17557.02,1,1,2,EXACT_MATCH
07ABCDE9548F1Z5,07ABCDE9548F1Z5,Supplier 100,Supplier 100,INV-00100,INV-00100,2026-02-23,2026-02-23,74410,74410,13393.80,13393.80,1,1,2,EXACT_MATCH
07ABCDE7182F1Z5,07ABCDE7182F1Z5,Supplier 101,Supplier 101,INV-00101,INV-00101,2026-01-29,2026-01-29,71959,71959,12952.62,12952.62,1,1,2,EXACT_MATCH
07ABCDE8912F1Z5,07ABCDE8912F1Z5,Supplier 102,Supplier 102,INV-00102,INV-00102,2026-11-04,2026-11-04,90423,90423,16276.14,16276.14,1,1,2,EXACT_MATCH
07ABCDE9584F1Z5,07ABCDE9584F1Z5,Supplier 103,Supplier 103,INV-00103,INV-00103,2026-05-28,2026-05-28,77382,77382,13928.76,13928.76,1,1,2,EXACT_MATCH
07ABCDE8640F1Z5,07ABCDE8640F1Z5,Supplier 104,Supplier 104,INV-00104,INV-00104,2026-04-29,2026-04-29,37228,37228,6701.04,6701.04,1,1,2,EXACT_MATCH
07ABCDE4092F1Z5,07ABCDE4092F1Z5,Supplier 105,Supplier 105,INV-00105,INV-00105,2026-12-04,2026-12-04,66872,66872,12036.96,12036.96,1,1,2,EXACT_MATCH
07ABCDE4745F1Z5,07ABCDE4745F1Z5,Supplier 106,Supplier 106,INV-00106,INV-00106,2026-02-05,2026-02-05,69430,69430,12497.40,12497.40,1,1,2,EXACT_MATCH
07ABCDE2685F1Z5,07ABCDE2685F1Z5,Supplier 107,Supplier 107,INV-00107,INV-00107,2026-08-05,2026-08-05,61651,61651,11097.18,11097.18,1,1,2,EXACT_MATCH
07ABCDE4680F1Z5,07ABCDE4680F1Z5,Supplier 108,Supplier 108,INV-00108,INV-00108,2026-12-05,2026-12-05,70468,70468,12684.24,12684.24,1,1,2,EXACT_MATCH
07ABCDE3858F1Z5,07ABCDE3858F1Z5,Supplier 109,Supplier 109,INV-00109,INV-00109,2026-02-12,2026-02-12,34149,34149,6146.82,6146.82,1,1,2,EXACT_MATCH
07ABCDE3044F1Z5,07ABCDE3044F1Z5,Supplier 110,Supplier 110,INV-00110,INV-00110,2026-03-29,2026-03-29,43768,43768,7878.24,7878.24,1,1,2,EXACT_MATCH
07ABCDE6521F1Z5,07ABCDE6521F1Z5,Supplier 111,Supplier 111,INV-00111,INV-00111,2026-10-14,2026-10-14,37683,37683,6782.94,6782.94,1,1,2,EXACT_MATCH
07ABCDE6309F1Z5,07ABCDE6309F1Z5,Supplier 112,Supplier 112,INV-00112,INV-00112,2026-07-25,2026-07-25,16716,16716,3008.88,3008.88,1,1,2,EXACT_MATCH
07ABCDE6421F1Z5,07ABCDE6421F1Z5,Supplier 113,Supplier 113,INV-00113,INV-00113,2026-01-12,2026-01-12,9327,9327,1678.86,1678.86,1,1,2,EXACT_MATCH
07ABCDE1745F1Z5,07ABCDE1745F1Z5,Supplier 114,Supplier 114,INV-00114,INV-00114,2026-07-27,2026-07-27,68966,68966,12413.88,12413.88,1,1,2,EXACT_MATCH
07ABCDE3551F1Z5,07ABCDE3551F1Z5,Supplier 115,Supplier 115,INV-00115,INV-00115,2026-05-02,2026-05-02,62646,62646,11276.28,11276.28,1,1,2,EXACT_MATCH
07ABCDE5246F1Z5,07ABCDE5246F1Z5,Supplier 116,Supplier 116,INV-00116,INV-00116,2026-09-27,2026-09-27,30780,30780,5540.40,5540.40,1,1,2,EXACT_MATCH
07ABCDE5077F1Z5,07ABCDE5077F1Z5,Supplier 117,Supplier 117,INV-00117,INV-00117,2026-02-07,2026-02-07,36320,36320,6537.60,6537.60,1,1,2,EXACT_MATCH
07ABCDE1979F1Z5,07ABCDE1979F1Z5,Supplier 118,Supplier 118,INV-00118,INV-00118,2026-04-09,2026-04-09,67543,67543,12157.74,12157.74,1,1,2,EXACT_MATCH
07ABCDE9475F1Z5,07ABCDE9475F1Z5,Supplier 119,Supplier 119,INV-00119,INV-00119,2026-03-20,2026-03-20,40489,40489,7288.02,7288.02,1,1,2,EXACT_MATCH
07ABCDE8065F1Z5,07ABCDE8065F1Z5,Supplier 120,Supplier 120,INV-00120,INV-00120,2026-05-16,2026-05-16,30076,30076,5413.68,5413.68,1,1,2,EXACT_MATCH
07ABCDE8251F1Z5,07ABCDE8251F1Z5,Supplier 121,Supplier 121,INV-00121,INV-00121,2026-11-18,2026-11-18,86264,86264,15527.52,15527.52,1,1,2,EXACT_MATCH
07ABCDE3520F1Z5,07ABCDE3520F1Z5,Supplier 122,Supplier 122,INV-00122,INV-00122,2026-11-05,2026-11-05,58766,58766,10577.88,10577.88,1,1,2,EXACT_MATCH
07ABCDE8223F1Z5,07ABCDE8223F1Z5,Supplier 123,Supplier 123,INV-00123,INV-00123,2026-08-27,2026-08-27,61048,61048,10988.64,10988.64,1,1,2,EXACT_MATCH
07ABCDE5681F1Z5,07ABCDE5681F1Z5,Supplier 124,Supplier 124,INV-00124,INV-00124,2026-07-06,2026-07-06,95791,95791,17242.38,17242.38,1,1,2,EXACT_MATCH
07ABCDE9967F1Z5,07ABCDE9967F1Z5,Supplier 125,Supplier 125,INV-00125,INV-00125,2026-11-19,2026-11-19,89105,89105,16038.90,16038.90,1,1,2,EXACT_MATCH
07ABCDE3464F1Z5,07ABCDE3464F1Z5,Supplier 126,Supplier 126,INV-00126,INV-00126,2026-02-11,2026-02-11,65039,65039,11707.02,11707.02,1,1,2,EXACT_MATCH
07ABCDE8379F1Z5,07ABCDE8379F1Z5,Supplier 127,Supplier 127,INV-00127,INV-00127,2026-06-28,2026-06-28,42491,42491,7648.38,7648.38,1,1,2,EXACT_MATCH
07ABCDE4775F1Z5,07ABCDE4775F1Z5,Supplier 128,Supplier 128,INV-00128,INV-00128,2026-05-27,2026-05-27,34096,34096,6137.28,6137.28,1,1,2,EXACT_MATCH
07ABCDE3262F1Z5,07ABCDE3262F1Z5,Supplier 129,Supplier 129,INV-00129,INV-00129,2026-06-20,2026-06-20,53410,53410,9613.80,9613.80,1,1,2,EXACT_MATCH
07ABCDE9214F1Z5,07ABCDE9214F1Z5,Supplier 130,Supplier 130,INV-00130,INV-00130,2026-09-03,2026-09-03,98936,98936,17808.48,17808.48,1,1,2,EXACT_MATCH
07ABCDE3088F1Z5,07ABCDE3088F1Z5,Supplier 131,Supplier 131,INV-00131,INV-00131,2026-03-27,2026-03-27,97118,97118,17481.24,17481.24,1,1,2,EXACT_MATCH
07ABCDE2929F1Z5,07ABCDE2929F1Z5,Supplier 132,Supplier 132,INV-00132,INV-00132,2026-07-20,2026-07-20,19170,19170,3450.60,3450.60,1,1,2,EXACT_MATCH
07ABCDE6041F1Z5,07ABCDE6041F1Z5,Supplier 133,Supplier 133,INV-00133,INV-00133,2026-02-03,2026-02-03,81263,81263,14627.34,14627.34,1,1,2,EXACT_MATCH
07ABCDE8335F1Z5,07ABCDE8335F1Z5,Supplier 134,Supplier 134,INV-00134,INV-00134,2026-11-11,2026-11-11,26114,26114,4700.52,4700.52,1,1,2,EXACT_MATCH
07ABCDE6852F1Z5,07ABCDE6852F1Z5,Supplier 135,Supplier 135,INV-00135,INV-00135,2026-01-27,2026-01-27,8821,8821,1587.78,1587.78,1,1,2,EXACT_MATCH
07ABCDE9987F1Z5,07ABCDE9987F1Z5,Supplier 136,Supplier 136,INV-00136,INV-00136,2026-11-06,2026-11-06,95957,95957,17272.26,17272.26,1,1,2,EXACT_MATCH
