pr_gstin,gstr2b_gstin,pr_supplier_name,gstr2b_supplier_name,pr_invoice_no,gstr2b_invoice_no,pr_date,gstr2b_date,pr_taxable,gstr2b_taxable,pr_igst,gstr2b_igst,pr_cgst,gstr2b_cgst,pr_sgst,gstr2b_sgst,label,provenance
20ABCDE1888F1Z5,20ABCDE1888F1Z5,"Balan, Dhingra and Jani","Balan, Dhingra and Jani",INV-2802/23,INV280223,2025-11-27,2025-11-27,71443.39,714433.9,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2666"", ""mutations"": [""format_mutation"", ""tax_mutation""], ""seed"": 12345}"
58ABCDE5726F1Z5,58ABCDE5726F1Z5,Choudhary-Varkey,Choudhary-Varkey,INV-6770/25,INVF6770/Z5,2026-05-05,2026-05-05,12482.34,12482.34,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3321"", ""mutations"": [""ocr_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
36ABCDE9496F1Z5,36ABCDE9496F1Z5,Raj-Ganesh,Raj-Ganesh,INV-9094/22,INV-9094/22,2025-12-11,2025-12-11,53986.94,53986.94,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_956"", ""mutations"": [], ""seed"": 12345}"
89ABCDE5564F1Z5,89ABCDE5564F1Z5,Rau-Sarin,Rau-Sarin,INV-3981/23,INV-3981/23,2026-05-26,2026-05-26,73642.43,130013.39,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_923"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
93ABCDE2485F1Z5,93ABCDE2485F1Z5,"Ramachandran, Ghosh and Chowdhury","Ramachandran, Ghosh and Chowdhury",INV-1198/26,INV-1198/26,2025-10-01,2025-10-01,28678.19,28678.19,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1881"", ""mutations"": [""supplier_name_mutation""], ""seed"": 12345}"
82ABCDE4437F1Z5,82ABCDE4437F1Z5,"Butala, Manda and Kapadia","Butala, Manda and Kapadia",INV-4479/26,INV/4479/26,2026-07-04,2026-07-04,1553.89,1553.89,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3054"", ""mutations"": [""format_mutation""], ""seed"": 12345}"
32ABCDE7160F1Z5,32ABCDE7160F1Z5,Bail-Zacharia,Bail-Zacharia,INV-3886/20,INV-3886/20,2025-12-20,2025-12-20,1997.75,1997.75,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3731"", ""mutations"": [""supplier_name_mutation""], ""seed"": 12345}"
21ABCDE9817F1Z5,21ABCDE9817F1Z5,Hegde LLC,Hegde LLC,INV-8897/24,INV-8897/24,2026-08-04,2026-08-04,24183.14,24183.14,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1482"", ""mutations"": [], ""seed"": 12345}"
13ABCDE2058F1Z5,13ABCDE2058F1Z5,Sekhon-Sem,"Purohit, Pillay and Comar",INV-3895/25,INV-7951/20,2025-09-27,2025-09-27,41023.38,7991.49,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_371"", ""mutations"": [""contradiction""], ""seed"": 12345}"
44ABCDE4080F1Z5,99ABCDE5179F1Z5,Varty LLC,Varty LLC,INV-3130/20,INV-3130/20,2026-02-18,2026-02-18,83383.54,83383.54,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_484"", ""mutations"": [""different_gstin""], ""seed"": 12345}"
11ABCDE1157F1Z5,11ABCDE1157F1Z5,"Deol, Rastogi and Rege","Deol, Rastogi and Rege",INV-5138/25,INV-5138/25,2026-07-15,2026-07-15,85990.94,152574.17,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2209"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
44ABCDE8281F1Z5,44ABCDE8281F1Z5,"Warrior, Tak and Rastogi","Warrior, Tak and Rastogi",INV-4348/24,INV434824,2025-09-30,2025-09-30,78600.54,78600.54,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3612"", ""mutations"": [""format_mutation""], ""seed"": 12345}"
51ABCDE7840F1Z5,51ABCDE7840F1Z5,Yadav PLC,Yadav PLC,INV-4439/26,INV-4439/26,2026-08-02,2026-08-02,39071.06,39071.06,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_532"", ""mutations"": [], ""seed"": 12345}"
83ABCDE9198F1Z5,99ABCDE2033F1Z5,Panchal PLC,Panchal PLC,INV-4048/20,INV-4048/20,2025-11-04,2025-11-04,84782.14,84782.14,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1065"", ""mutations"": [""different_gstin""], ""seed"": 12345}"
,24ABCDE8266F1Z5,,Apte-Varughese,,INV-6116/20,,2025-11-10,,44470.28,,0.0,,0.0,,0.0,MISSING_IN_PR,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_54"", ""mutations"": [""missing""], ""seed"": 12345}"
35ABCDE8069F1Z5,35ABCDE8069F1Z5,"Dora, Gandhi and Bhatia","Dora, Gandhi and Bhatia",INV-3969/26,INV-3969/26,2026-03-18,2026-03-18,27814.97,27814.97,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1790"", ""mutations"": [], ""seed"": 12345}"
92ABCDE2708F1Z5,92ABCDE2708F1Z5,"Oak, Prabhakar and Saxena","Oak, Prabhakar and Saxena",INV-2026/26,IZV-2026/Z6,2026-05-14,2026-05-12,48784.29,48784.29,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3785"", ""mutations"": [""ocr_mutation"", ""date_mutation""], ""seed"": 12345}"
97ABCDE1961F1Z5,97ABCDE1961F1Z5,Jha-Dutta,Chatterjee-Bath,INV-1506/25,INV-9617/22,2026-04-09,2026-04-09,14262.65,13449.54,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_1301"", ""mutations"": [""contradiction""], ""seed"": 12345}"
38ABCDE9269F1Z5,,Toor Ltd,,INV-6114/22,,2025-11-22,,89591.25,,0.0,,0.0,,0.0,,MISSING_IN_2B,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_1206"", ""mutations"": [""missing""], ""seed"": 12345}"
79ABCDE9033F1Z5,79ABCDE9033F1Z5,"Bhatia, Roy and Kapoor","Bhatia, Roy and Kapoor",INV-3957/20,1NV/3957/20,2025-09-09,2025-09-09,77832.83,778328.3,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3940"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""date_mutation"", ""tax_mutation""], ""seed"": 12345}"
57ABCDE5020F1Z5,57ABCDE5020F1Z5,Parekh-Gara,Parekh-Gara,INV-8621/26,INV-8621/26,2026-04-02,2026-04-02,93311.52,93311.52,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3205"", ""mutations"": [], ""seed"": 12345}"
19ABCDE4681F1Z5,19ABCDE4681F1Z5,"Singhal, Chaudhry and Wable","Singhal, Chaudhry and Wable",INV-9735/23,INV-9735/23,2026-06-23,2026-06-23,16736.67,28022.34,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1034"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
95ABCDE5028F1Z5,95ABCDE5028F1Z5,"Palla, Saha and More","Choudhury, Misra and Mitter",INV-6287/25,INV-2566/25,2026-03-10,2026-03-10,57146.5,24058.45,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_1393"", ""mutations"": [""contradiction""], ""seed"": 12345}"
24ABCDE7843F1Z5,24ABCDE7843F1Z5,"Suresh, Thaker and Merchant","Suresh, Thaker and Merchant",INV-1516/23,INV151623,2026-06-24,2026-06-24,79523.55,79523.55,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_911"", ""mutations"": [""format_mutation""], ""seed"": 12345}"
67ABCDE6534F1Z5,67ABCDE6534F1Z5,Reddy-Issac,Reddy-Issac,INV-1647/24,INV-1647/24,2026-02-15,2026-02-13,59450.01,59450.01,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3520"", ""mutations"": [""date_mutation""], ""seed"": 12345}"
76ABCDE7034F1Z5,99ABCDE5413F1Z5,Garde Ltd,Garde Ltd,INV-1223/25,INV-1223/25,2026-05-23,2026-05-23,6049.01,6049.01,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_847"", ""mutations"": [""different_gstin""], ""seed"": 12345}"
17ABCDE2851F1Z5,17ABCDE2851F1Z5,Sarna Inc,Sarna Inc,INV-8144/23,INV-8144/23,2025-10-28,2025-10-28,26409.13,26409.13,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3830"", ""mutations"": [], ""seed"": 12345}"
11ABCDE9630F1Z5,11ABCDE9630F1Z5,Palla PLC,Palla PLC,INV-3483/24,INV/3483/24,2025-12-24,2025-12-24,53630.32,53630.32,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_16"", ""mutations"": [""format_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
23ABCDE8547F1Z5,23ABCDE8547F1Z5,Manda Inc,Manda Inc,INV-1594/23,INV-1596123,2025-11-27,2025-11-26,30726.35,30726.35,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1159"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
68ABCDE2460F1Z5,68ABCDE2460F1Z5,"Gupta, Shetty and Pandey","Gupta, Shetty and Pandey",INV-4006/23,INV-4006/23,2026-05-08,2026-05-08,91877.15,151825.81,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1970"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
18ABCDE6047F1Z5,18ABCDE6047F1Z5,"Pau, Kapoor and Barman","Pau, Kapoor and Barman",INV-4764/26,INV/464/26,2026-03-07,2026-03-10,61718.27,61718.27,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3164"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
86ABCDE4739F1Z5,86ABCDE4739F1Z5,Nanda and Sons,Nanda and Sons,INV-2822/20,INV-2822/2O,2026-07-20,2026-07-20,93949.84,93949.84,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2167"", ""mutations"": [""ocr_mutation""], ""seed"": 12345}"
32ABCDE2087F1Z5,32ABCDE2087F1Z5,"Bera, Kurian and Vohra","Bera, Kurian and Vohra",INV-1491/24,INV-1491/24,2025-11-01,2025-11-01,76325.35,76325.35,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2294"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
71ABCDE1129F1Z5,71ABCDE1129F1Z5,Magar-Srivastava,Magar-Srivastava,INV-6338/20,INV-6338/20,2026-01-02,2026-01-02,81680.34,81680.34,0.0,14702.46,7351.23,0.0,7351.23,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2806"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
78ABCDE6815F1Z5,78ABCDE6815F1Z5,"Lad, Warrior and Palla","Lad, Warrior and Palla",INV-9352/20,INV-9352/20,2026-01-12,2026-01-12,79139.56,79139.56,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_912"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
27ABCDE4953F1Z5,27ABCDE4953F1Z5,Behl-Mutti,Behl-Mutti,INV-5997/20,INV-5997/20,2026-04-20,2026-04-20,91613.04,91613.04,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_738"", ""mutations"": [], ""seed"": 12345}"
37ABCDE6218F1Z5,37ABCDE6218F1Z5,Suri-Thaker,Suri-Thaker,INV-4248/26,INV-4218/26,2026-08-12,2026-08-12,22344.52,22344.52,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3817"", ""mutations"": [""ocr_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
51ABCDE5662F1Z5,51ABCDE5662F1Z5,Murthy-Pathak,Murthy-Pathak,INV-9674/26,INV-9674/26,2026-02-07,2026-07-02,38604.31,38604.31,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3758"", ""mutations"": [""date_mutation""], ""seed"": 12345}"
76ABCDE5310F1Z5,76ABCDE5310F1Z5,Amble-Narain,Amble-Narain,INV-8917/23,1NV-8917-23,2025-11-15,2025-11-15,58666.92,58662.84,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2936"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""tax_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
95ABCDE6856F1Z5,95ABCDE6856F1Z5,"Datta, Bhat and Comar","Datta, Bhat and Comar",INV-1698/21,INV-1698/21,2026-07-07,2026-07-07,28657.02,42724.83,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_948"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
58ABCDE5309F1Z5,58ABCDE5309F1Z5,"Talwar, Vohra and Agate","Talwar, Vohra and Agate",INV-9804/26,INV-9804/26,2025-11-23,2025-11-23,8157.45,8157.45,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3611"", ""mutations"": [""supplier_name_mutation""], ""seed"": 12345}"
98ABCDE2185F1Z5,,Sridhar-Sathe,,INV-1953/22,,2026-05-13,,5443.03,,0.0,,0.0,,0.0,,MISSING_IN_2B,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_31"", ""mutations"": [""missing""], ""seed"": 12345}"
96ABCDE8322F1Z5,96ABCDE8322F1Z5,"Kala, Lall and Swaminathan","Kala, Lall and Swaminathan",INV-2977/22,INV-ZN77/22,2025-10-28,2025-10-28,66662.62,66662.62,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_385"", ""mutations"": [""ocr_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
18ABCDE6681F1Z5,18ABCDE6681F1Z5,"Oza, Pall and Divan","Salvi, Garde and Narula",INV-2231/21,INV-9983/24,2025-12-26,2025-12-26,47982.94,31456.72,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_1255"", ""mutations"": [""contradiction""], ""seed"": 12345}"
92ABCDE2661F1Z5,99ABCDE4745F1Z5,"Tella, Chand and Badami","Tella, Chand and Badami",INV-5422/21,INV-5422/21,2026-03-25,2026-03-25,1777.44,1777.44,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1402"", ""mutations"": [""different_gstin""], ""seed"": 12345}"
87ABCDE8309F1Z5,87ABCDE8309F1Z5,Sampath-Dhingra,Sampath-Dhingra,INV-7273/22,INV/7273/22,2025-08-28,2025-08-28,55460.1,55460.1,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1948"", ""mutations"": [""format_mutation""], ""seed"": 12345}"
83ABCDE1258F1Z5,83ABCDE1258F1Z5,"Saxena, Panchal and Dutt","Saxena, Panchal and Dutt",INV-9237/21,INV-9237/21,2025-12-27,2025-12-27,10927.61,10927.61,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1782"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
