record_id,amount,record_date,reference,vendor_name,tax_identity
G_000037,15625.00,2025-10-13,INV/2025/55548,None,27AAAAA5066A1ZA
G_000038,49956.00,2025-08-19,INV/2025/59028,Vendor 38 Pvt Ltd,27AAAAA9561A1Z2
G_000039,40126.00,2025-10-19,INV/2025/82399,Vendor 39 Pvt Ltd,27AAAAA8025A1ZD
G_000040,27335.00,2025-11-17,INV/2025/28659,Vendor 40 Pvt Ltd,27AAAAA2625A1ZJ
G_000041,22882.00,2025-10-10,INV/2025/10838,Vendor 41 Pvt Ltd,27AAAAA4929A1Z8
G_000042,38275.00,2025-01-17,INV/2025/31340,Vendor 42 Pvt Ltd,27AAAAA8699A1ZP
G_000043,9429.00,2025-12-18,,Vendor 43 Pvt Ltd,27AAAAA8438A1Z4
G_000044,55823.00,2025-02-28,INV/2025/72376,Vendor 44 Pvt Ltd,27AAAAA4241A1ZJ
G_000045,18743.00,2025-02-06,INV/2025/8816,Vendor 45 Pvt Ltd,27AAAAA5352A1ZD
G_000046,57660.00,2025-03-05,INV/2025/62433,vendor 46 pvt ltd,27AAAAA5728A1Z9
G_000047,65697.00,2025-10-04,INV/2025/65722,Vendor 47 Pvt Ltd,27AAAAA5460A1ZC
G_000048,96376.00,2025-06-15,INV/2025/80129,Vendor 48 Pvt Ltd,27AAAAA8078A1Z0
G_000049,88217.00,2025-05-18,INV/2025/76529,Vendor 49 Pvt Ltd,27AAAAA1339A1ZI
G_000050,68121.00,2025-11-30,,Vendor 50 Pvt Ltd,27AAAAA8708A1Z7
G_000051,83302.00,2025-09-09,INV/2025/12959,Vendor 51 Pvt Ltd,27AAAAA8141A1ZC
G_000052,87935.00,2025-02-23,INV/2025/22079,Vendor 52 Pvt Ltd,27AAAAA6260A1ZC
G_000053,86946.00,2025-07-25,INV/2025/73102,Vendor 53 Pvt Ltd,27AAAAA5722A1ZF
G_000054,42472.00,2025-03-01,,Vendor 54 Pvt Ltd,27AAAAA5135A1ZG
G_000055,86300.00,2025-10-05,INV/2025/61552,Vendor 55 Pvt Ltd,27AAAAA1018A1ZQ
G_000056,81709.00,2025-09-13,INV/2025/82973,Vendor 56 Pvt Ltd,27AAAAA6927A1Z6
G_000057,72087.00,2025-03-09,INV/2025/38752,Vendor 57 Pvt Ltd,27AAAAA5375A1Z6
G_000058,7766.00,2025-11-19,INV/2025/80806,Vendor 58 Pvt Ltd,27AAAAA2989A1Z0
G_000059,72484.00,2025-07-28,INV/2025/13217,Vendor 59 Pvt Ltd,27AAAAA1224A1ZQ
G_000060,60582.00,2025-03-02,INV/2025/85896,Vendor 60 Pvt Ltd,27AAAAA5781A1Z4
G_000061,54559.00,2025-09-05,INV/2025/62894,Vendor 61 Pvt Ltd,27AAAAA5479A1Z1
G_000062,25084.00,2025-11-03,INV/2025/67616,Vendor 62 Pvt Ltd,27AAAAA7284A1Z2
G_000063,44648.00,2025-09-17,INV/2025/36018,Vendor 63 Pvt Ltd,27AAAAA5891A1Z1
G_000064,19576.00,2025-08-17,INV/2025/71592,Vendor 64 Pvt Ltd,27AAAAA9022A1ZE
G_000065,49541.00,2025-08-22,,Vendor 65 Pvt Ltd,27AAAAA9903A1Z8
G_000066,75046.00,2025-07-16,,Vendor 66 Pvt Ltd,27AAAAA4912A1ZH
G_000067,97709.00,2025-08-31,,Vendor 67 Pvt Ltd,27AAAAA6213A1ZJ
G_000068,65023.00,2025-01-19,INV/2025/17547,VENDOR 68 PVT LTD,27AAAAA3492A1Z8
G_000069,57811.00,2025-02-21,,Vendor 69 Pvt Ltd,27AAAAA2644A1ZG
G_000070,53836.00,2025-12-02,INV/2025/21232,Vendor 70 Pvt Ltd,27AAAAA3361A1ZG
G_000071,44475.00,2025-11-16,INV/2025/91794,Vendor 71 Pvt Ltd,27AAAAA5342A1ZF
G_000072,88489.00,2025-10-01,,Vendor 72 Pvt Ltd,27AAAAA6383A1Z4
G_000073,71012.00,2025-01-19,INV/2025/81931,Vendor 73 Pvt Ltd,27AAAAA8994A1ZR
G_000074,29917.00,2025-02-16,,Vendor 74 Pvt Ltd,27AAAAA5708A1ZD
G_000075,58253.00,2025-03-27,INV/2025/91964,Vendor 75 Pvt Ltd,27AAAAA2646A1ZE
G_000076,7455.00,2025-05-31,INV/2025/47984,Vendor 76 Pvt Ltd,27AAAAA6314A1ZH
G_000077,54109.00,2025-10-17,INV/2025/90364,Vendor 77 Pvt Ltd,27AAAAA9702A1ZB
G_000078,81326.00,2025-12-16,INV/2025/32566,Vendor 78 Pvt Ltd,27AAAAA7267A1Z3
G_000079,60543.00,2025-11-23,INV/2025/34289,Vendor 79 Pvt Ltd,27AAAAA4804A1ZI
G_000080,37800.00,2025-12-13,INV/2025/72643,Vendor 80 Pvt Ltd,27AAAAA8622A1ZA
G_000081,77114.00,2025-06-03,,Vendor 81 Pvt Ltd,27AAAAA6661A1Z7
G_000082,39699.00,2025-04-12,,Vendor 82 Pvt Ltd,27AAAAA8484A1ZY
G_000083,75063.00,2025-07-03,INV/2025/76341,Vendor 83 Pvt Ltd,27AAAAA7248A1Z6
G_000084,86375.00,2025-07-22,INV/2025/36976,Vendor 84 Pvt Ltd,27AAAAA1359A1ZE
G_000085,79583.00,2025-09-12,INV/2025/38512,Vendor 85 Pvt Ltd,27AAAAA1803A1ZP
G_000086,83542.00,2025-04-08,INV/2025/82381,Vendor 86 Pvt Ltd,27AAAAA4588A1Z1
G_000087,82445.00,2025-02-19,INV/2025/83242,Vendor 87 Pvt Ltd Inc,27AAAAA3240A1ZM
G_000088,76065.00,2025-07-06,INV/2025/96991,Vendor 88 Pvt Ltd,27AAAAA1546A1ZH
G_000089,98073.00,2025-08-01,INV/2025/24021,Vendor 89 Pvt Ltd,27AAAAA6352A1ZB
G_000090,69679.00,2025-09-14,INV/2025/36720,Vendor 90 Pvt Ltd,27AAAAA8894A1ZS
G_000091,97953.00,2025-06-23,INV/2025/16095,Vendor 91 Pvt Ltd,27AAAAA5835A1Z9
G_000092,88747.00,2025-12-12,,Vendor 92 Pvt Ltd,27AAAAA4696A1Z0
G_000093,11936.00,2025-07-22,INV/2025/2824,Vendor 93 Pvt Ltd,27AAAAA6992A1ZX
G_000094,88288.00,2025-12-11,INV/2025/35362,None,27AAAAA7038A1ZA
G_000095,14301.00,2025-12-12,INV/2025/31647,Vendor 95 Pvt Ltd,27AAAAA7086A1Z2
G_000096,80064.00,2025-04-24,INV/2025/85889,Vendor 96 Pvt Ltd,27AAAAA6374A1Z5
G_000097,85197.00,2025-07-29,INV/2025/16292,Vendor 97 Pvt Ltd,27AAAAA5951A1Z8
G_000098,64669.00,2025-03-01,INV/2025/13739,Vendor 98 Pvt Ltd,27AAAAA5986A1ZX
G_000099,59559.00,2025-07-09,,Vendor 99 Pvt Ltd,27AAAAA7367A1Z2
G_000100,110070.00,2025-10-28,INV/2025/98290,Vendor 100 Pvt Ltd,27AAAAA9850A1Z2
G_000101,80794.00,2025-07-28,INV/2025/37666,Vendor 101 Pvt Ltd,27AAAAA9017A1ZB
G_000102,58387.00,2025-05-01,INV/2025/48537,Vendor 102 Pvt Ltd,27AAAAA8264A1Z4
G_000103,84618.00,2025-07-03,INV/2025/8936,Vendor 103 Pvt Ltd,27AAAAA9920A1Z7
G_000104,59700.00,2025-02-16,INV/2025/87870,Vendor 104 Pvt Ltd,27AAAAA3001A1ZV
G_000105,6729.00,2025-06-20,,Vendor 105 Pvt Ltd,27AAAAA1349A1ZG
G_000106,9092.00,2025-10-11,INV/2025/28152,None,27AAAAA4362A1ZD
G_000107,19440.00,2025-11-02,INV/2025/1371,Vendor 107 Pvt Ltd,27AAAAA6383A1Z4
G_000108,70907.00,2025-05-09,INV/2025/23871,Vendor 108 Pvt Ltd,27AAAAA3129A1ZI
G_000109,2047.00,2025-07-03,INV/2025/32186,Vendor 109 Private Limited,27AAAAA3159A1ZC
G_000110,16714.00,2025-08-04,INV/2025/69955,Vendor 110 Pvt Ltd,27AAAAA1858A1ZA
G_000111,47553.00,2025-09-20,INV/2025/78812,Vendor 111 Pvt Ltd,27AAAAA8344A1Z7
G_000112,95421.00,2025-12-04,INV/2025/69347,Vendor 112 Pvt Ltd,27AAAAA1710A1ZR
G_000113,8072.00,2025-09-03,INV/2025/53640,Vendor 113 Pvt Ltd,27AAAAA1510A1ZT
G_000114,9732.00,2025-02-11,INV/2025/43219,Vendor 114 Private Limited,27AAAAA8267A1Z1
G_000115,93443.00,2025-06-16,,Vendor 115 Pvt Ltd,27AAAAA9984A1ZR
G_000116,66363.00,2025-11-06,INV/2025/57387,Vendor 116 Pvt Ltd,27AAAAA8433A1Z9
G_000117,56470.00,2025-08-20,INV/2025/30949,Vendor 117 Pvt Ltd,27AAAAA4522A1ZJ
G_000118,54624.00,2025-02-18,INV/2025/41966,Vendor 118 Pvt Ltd,27AAAAA7532A1ZB
G_000119,20106.00,2025-12-18,INV/2025/63163,Vendor 119 Pvt Ltd,27AAAAA7132A1ZF
G_000120,113412.00,2025-02-19,INV/2025/98594,Vendor 120 Pvt Ltd,27AAAAA2527A1ZI
G_000121,87919.00,2025-03-04,INV/2025/54845,Vendor 121 Pvt Ltd,27AAAAA6400A1ZM
G_000122,94610.00,2025-01-27,INV/2025/38700,Vendor 122 Pvt Ltd Inc,27AAAAA7929A1Z2
G_000123,27984.00,2025-03-21,INV/2025/87079,Vendor 123 Pvt Ltd,27AAAAA9313A1ZC
G_000124,146020.00,2025-07-08,INV/2025/16058,Vendor 124 Pvt Ltd,27AAAAA6736A1Z7
G_000125,79922.00,2025-12-03,INV/2025/91894,Vendor 125 Pvt Ltd,27AAAAA1430A1ZQ
G_000126,44641.00,2025-06-29,INV/2025/1800,Vendor 126 Pvt Ltd,27AAAAA6062A1ZC
G_000127,9220.00,2025-03-14,INV/2025/98120,Vendor 127 Private Limited,27AAAAA7566A1Z1
G_000128,28297.00,2025-07-12,INV/2025/56028,Vendor 128 Pvt Ltd,27AAAAA9691A1ZV
G_000129,94681.00,2025-06-16,INV/2025/75395,Vendor 129 Private Limited,27AAAAA6105A1ZK
G_000130,88438.00,2025-02-11,INV/2025/36665,Vendor 130 Pvt Ltd,27AAAAA1815A1ZL
G_000131,54388.00,2025-05-20,INV/2025/29255,Vendor 131 Pvt Ltd,27AAAAA8242A1ZA
G_000132,88995.00,2025-12-14,INV/2025/78743,Vendor 132 Pvt Ltd,27AAAAA5640A1ZE
G_000133,29003.00,2025-07-22,INV/2025/79554,Vendor 133 Pvt Ltd,27AAAAA1744A1ZH
G_000134,18087.00,2025-05-11,INV/2025/38938,Vendor 134 Pvt Ltd,27AAAAA4460A1ZE
G_000135,23128.00,2025-03-08,INV/2025/50834,Vendor 135 PVT LTD,27AAAAA8055A1Z7
G_000136,9547.00,2025-07-23,INV/2025/98260,Vendor 136 Pvt Ltd,27AAAAA6802A1ZG
G_000137,41133.00,2025-10-22,INV/2025/57267,vendor 137 pvt ltd,27AAAAA2275A1ZD
G_000138,15196.00,2025-07-27,,Vendor 138 Pvt Ltd,27AAAAA5743A1ZA
G_000139,90488.00,2025-07-05,INV/2025/12551,Vendor 139 Pvt Ltd,27AAAAA8538A1Z3
G_000140,77284.00,2025-07-25,INV/2025/69676,Vendor 140 Pvt Ltd,27AAAAA8138A1Z7
G_000141,29141.00,2025-06-20,INV/2025/23037,Vendor 141 Pvt Ltd,27AAAAA6562A1Z7
G_000142,66940.00,2025-04-10,INV/2025/46793,Vendor 142 Pvt Ltd,27AAAAA9693A1ZT
G_000143,31068.00,2025-02-22,INV/2025/20194,Vendor 143 Pvt Ltd,27AAAAA3419A1ZH
G_000144,99742.00,2025-12-02,INV/2025/10876,Vendor 144 Pvt Ltd,27AAAAA3504A1ZN
G_000145,60911.00,2025-10-16,INV/2025/76952,Vendor 145 Pvt Ltd,27AAAAA9095A1ZX
G_000146,82310.00,2025-06-11,INV/2025/20786,Vendor 146 Pvt Ltd,27AAAAA6295A1Z1
G_000147,36102.00,2025-10-30,INV/2025/8362,Vendor 147 Pvt Ltd,27AAAAA5961A1Z6
G_000148,59333.00,2025-01-20,INV/2025/8456,Vendor 148 Pvt Ltd,27AAAAA8565A1Z0
G_000149,80710.00,2025-11-01,INV/2025/67462,Vendor 149 Pvt Ltd,27AAAAA2479A1Z7
G_000150,59047.00,2025-10-20,INV/2025/86437,Vendor 150 Pvt Ltd,27AAAAA1672A1ZE
G_000151,19873.00,2025-02-01,INV/2025/60050,Vendor 151 Pvt Ltd,27AAAAA9214A1ZC
G_000152,93726.00,2025-02-13,INV/2025/67132,Vendor 152 Private Limited,27AAAAA6626A1ZA
G_000153,57695.00,2025-09-26,INV/2025/69517,Vendor 153 Pvt Ltd Inc,27AAAAA8172A1Z5
G_000154,50879.00,2025-07-29,INV/2025/45350,Vendor 154 Private Limited,27AAAAA5634A1ZC
G_000155,8739.00,2025-06-18,INV/2025/13387,Vendor,27AAAAA6482A1Z4
G_000156,43794.00,2025-02-11,INV/2025/77380,Vendor 156 Pvt Ltd Inc,27AAAAA3463A1ZD
G_000157,17001.00,2025-11-01,,Vendor 157 Pvt Ltd,27AAAAA7421A1ZF
G_000158,84443.00,2025-06-18,INV/2025/17750,None,27AAAAA7171A1Z8
G_000159,12349.00,2025-11-27,INV/2025/88878,Vendor 159 Pvt Ltd,27AAAAA9624A1Z6
G_000160,40583.00,2025-04-03,INV/2025/29074,Vendor 160 Pvt Ltd,27AAAAA6940A1Z9
G_000161,29793.00,2025-03-12,INV/2025/21308,Vendor 161 Pvt Ltd,27AAAAA4145A1ZG
G_000162,66643.00,2025-10-04,,Vendor 162 Pvt Ltd,27AAAAA2657A1ZB
G_000163,81106.00,2025-03-09,INV/2025/79282,Vendor 163 Pvt Ltd,27AAAAA6517A1ZC
G_000164,94626.00,2025-08-13,INV/2025/6726,Vendor 164 Pvt Ltd,27AAAAA3712A1ZL
G_000165,116644.00,2025-11-09,INV/2025/38346,Vendor 165 Pvt Ltd,27AAAAA4891A1Z3
G_000166,40662.00,2025-08-29,INV/2025/26430,Vendor 166 Pvt Ltd,27AAAAA4918A1ZB
G_000167,60613.00,2025-05-25,INV/2025/51052,Vendor,27AAAAA8218A1ZA
G_000168,79354.00,2025-03-12,INV/2025/33768,Vendor 168 Pvt Ltd,27AAAAA4271A1ZD
G_000169,72784.00,2025-02-22,INV/2025/94244,Vendor 169 Pvt Ltd,
G_000170,35855.00,2025-08-19,INV/2025/68286,Vendor 170 Pvt Ltd,27AAAAA3626A1ZG
G_000171,59230.00,2025-06-28,INV/2025/4495,Vendor 171 Pvt Ltd,27AAAAA4637A1ZB
G_000172,31003.00,2025-07-17,INV/2025/11696,Vendor 172 Pvt Ltd,27AAAAA7126A1ZD
G_000173,93778.00,2025-11-29,INV/2025/44947,Vendor 173 Pvt Ltd,27AAAAA2623A1ZL
G_000174,91335.00,2025-03-13,INV/2025/93476,Vendor 174 Pvt Ltd,27AAAAA8740A1Z7
G_000175,2590.00,2025-05-12,INV/2025/29266,Vendor 175 Pvt Ltd,
G_000176,55576.00,2025-02-26,INV/2025/38762,Vendor 176 Pvt Ltd,27AAAAA9647A1ZZ
G_000177,55127.00,2025-11-24,INV/2025/82633,Vendor 177 Pvt Ltd,27AAAAA4906A1ZF
G_000178,78315.00,2025-10-02,INV/2025/3154,VENDOR 178 PVT LTD,27AAAAA9189A1ZU
G_000179,38277.00,2025-08-08,INV/2025/1205,Vendor 179 PVT LTD,27AAAAA3352A1ZH
G_000180,87180.00,2025-12-09,INV/2025/12221,Vendor 180 Pvt Ltd Inc,27AAAAA4068A1ZA
G_000181,71413.00,2025-09-17,INV/2025/67535,Vendor,27AAAAA9618A1Z4
G_000182,83418.00,2025-07-18,INV/2025/49929,Vendor 182 Pvt Ltd,27AAAAA1713A1ZO
G_000183,45293.00,2025-05-04,INV/2025/97068,Vendor 183 Private Limited,27AAAAA2106A1ZR
G_000184,17586.00,2025-01-23,INV/2025/47176,None,27AAAAA6447A1Z7
G_000185,91246.00,2025-09-03,INV/2025/83802,Vendor 185 Pvt Ltd,27AAAAA8612A1ZC
G_000186,4947.00,2025-05-31,INV/2025/27422,Vendor 186 Pvt Ltd,27AAAAA8498A1ZS
G_000187,41465.00,2025-06-08,INV/2025/68552,Vendor 187 Pvt Ltd,27AAAAA1686A1Z8
G_000188,33302.00,2025-01-19,INV/2025/99735,Vendor 188 Pvt Ltd Inc,27AAAAA8756A1ZZ
G_000189,86048.00,2025-06-19,INV/2025/36811,Vendor 189 Pvt Ltd,27AAAAA1783A1ZA
G_000190,97526.00,2025-08-14,INV/2025/51678,Vendor 190 Pvt Ltd,27AAAAA7553A1Z6
G_000191,48248.00,2025-09-23,INV/2025/35959,Vendor 191 Pvt Ltd,
G_000192,71596.00,2025-05-31,INV/2025/43101,Vendor 192 Pvt Ltd,27AAAAA3956A1Z7
G_000193,40274.00,2025-08-17,INV/2025/79986,Vendor 193 Pvt Ltd,27AAAAA5843A1Z9
G_000194,5651.00,2025-06-30,,Vendor 194 Pvt Ltd,27AAAAA8325A1ZA
G_000195,9935.00,2025-12-10,INV/2025/84560,Vendor 195 Pvt Ltd,27AAAAA1939A1ZC
G_000196,4181.00,2025-03-15,INV/2025/80635,Vendor,27AAAAA3621A1ZL
G_000197,31032.00,2025-11-27,INV/2025/49015,Vendor 197 Pvt Ltd,27AAAAA2101A1ZW
G_000198,79410.00,2025-03-20,INV/2025/90006,Vendor 198 Pvt Ltd,27AAAAA1530A1ZP
G_000199,10177.00,2025-10-21,INV/2025/19047,Vendor,27AAAAA8273A1Z3
G_000200,32818.00,2025-02-28,INV/2025/4396,Vendor 200 Pvt Ltd,27AAAAA5566A1Z5
G_000201,34411.00,2025-05-14,INV/2025/93279,Vendor 201 Pvt Ltd,27AAAAA2929A1ZC
G_000202,91061.00,2025-09-09,INV/2025/27237,Vendor 202 Pvt Ltd,27AAAAA5678A1Z0
G_000203,22730.00,2026-01-01,,Vendor 203 Pvt Ltd,27AAAAA8406A1ZC
G_000204,87635.00,2025-06-27,INV/2025/94000,Vendor 204 Pvt Ltd,27AAAAA6236A1ZC
G_000205,20744.00,2025-12-31,,Vendor 205 Pvt Ltd,27AAAAA5914A1ZD
G_000206,66783.00,2025-04-25,,Vendor 206 Pvt Ltd,27AAAAA6922A1ZB
G_000207,64852.00,2025-01-14,INV/2025/48303,Vendor 207 Pvt Ltd Inc,27AAAAA4878A1Z0
G_000208,80309.00,2025-02-14,INV/2025/9617,Vendor 208 Pvt Ltd,27AAAAA3126A1ZL
G_000209,69003.00,2025-07-30,INV/2025/54665,Vendor 209 Pvt Ltd,27AAAAA6194A1Z3
G_000210,61157.00,2025-12-15,INV/2025/68811,Vendor 210 Pvt Ltd,27AAAAA8372A1Z3
G_000211,17012.00,2025-08-10,,Vendor 211 Pvt Ltd,27AAAAA3981A1Z6
G_000212,68008.00,2025-03-20,INV/2025/40862,Vendor 212 Pvt Ltd,27AAAAA3034A1ZM
G_000213,45453.00,2025-09-23,INV/2025/38230,Vendor 213 Pvt Ltd,27AAAAA5496A1Z0
G_000214,80634.00,2025-10-01,INV/2025/13245,Vendor 214 PVT LTD,27AAAAA5961A1Z6
G_000215,45078.00,2025-12-04,INV/2025/82851,Vendor 215 Pvt Ltd,27AAAAA3526A1ZH
G_000216,3818.00,2025-02-11,,Vendor 216 Pvt Ltd,27AAAAA1674A1ZC
G_000217,85444.00,2025-04-18,INV/2025/75991,Vendor 217 Pvt Ltd,27AAAAA5336A1ZD
G_000218,82303.00,2025-10-07,INV/2025/38967,Vendor 218 Pvt Ltd Inc,27AAAAA9159A1Z0
G_000219,39085.00,2025-08-21,INV/2025/10564,Vendor 219 PVT LTD,27AAAAA7653A1Z5
G_000220,60975.00,2025-04-15,INV/2025/45589,Vendor 220 Pvt Ltd Inc,27AAAAA8933A1Z4
G_000221,96333.00,2025-06-26,INV/2025/53260,Vendor 221 Pvt Ltd,27AAAAA6231A1ZH
G_000222,41927.00,2025-05-04,INV/2025/62141,Vendor 222 Pvt Ltd,27AAAAA2739A1ZC
G_000223,12789.00,2025-01-26,,Vendor 223 Pvt Ltd,27AAAAA3308A1ZL
G_000224,32641.00,2025-03-23,,Vendor 224 Pvt Ltd,27AAAAA7850A1Z6
G_000225,20985.00,2025-09-13,INV/2025/68466,Vendor 225 Pvt Ltd,27AAAAA4110A1ZR
G_000226,3137.00,2025-02-16,INV/2025/52543,Vendor 226 PVT LTD,27AAAAA9148A1Z3
G_000227,6477.00,2025-01-26,INV/2025/37877,Vendor 227 Pvt Ltd,27AAAAA6781A1Z2
G_000228,37553.00,2025-10-02,INV/2025/2071,Vendor 228 Pvt Ltd,27AAAAA5333A1ZG
G_000229,48064.00,2025-01-24,INV/2025/53505,Vendor 229 Pvt Ltd,27AAAAA7606A1ZC
G_000230,72612.00,2025-05-28,INV/2025/10637,Vendor 230 Pvt Ltd,27AAAAA6939A1Z2
G_000231,81789.00,2025-12-15,INV/2025/81090,Vendor 231 Pvt Ltd,27AAAAA5582A1Z5
G_000232,49015.00,2025-06-23,,Vendor 232 Pvt Ltd,27AAAAA7453A1Z7
G_000233,79066.00,2025-09-18,INV/2025/53610,Vendor 233 Private Limited,27AAAAA4261A1ZF
G_000234,62194.00,2025-09-23,INV/2025/60898,Vendor 234 Pvt Ltd,27AAAAA6456A1Z6
G_000235,43087.00,2025-11-10,INV/2025/42750,Vendor 235 Pvt Ltd,27AAAAA3290A1ZC
G_000236,77920.00,2025-06-22,INV/2025/67494,Vendor 236 Pvt Ltd,
G_000237,62345.00,2025-01-09,INV/2025/49281,Vendor 237 Pvt Ltd,27AAAAA5911A1ZG
G_000238,76607.00,2025-06-07,,Vendor 238 Pvt Ltd,27AAAAA7824A1Z8
G_000239,34903.00,2025-12-02,INV/2025/76821,vendor 239 pvt ltd,27AAAAA8775A1ZW
G_000240,44898.00,2025-09-26,INV/2025/83447,Vendor 240 Pvt Ltd,27AAAAA8871A1ZZ
G_000241,4238.00,2025-10-21,INV/2025/92818,Vendor 241 Pvt Ltd,27AAAAA4968A1Z1
G_000242,54990.00,2025-03-19,INV/2025/55127,Vendor,27AAAAA6139A1ZA
G_000243,96547.00,2025-02-01,INV/2025/93507,Vendor 243 Pvt Ltd,27AAAAA8726A1Z5
G_000244,86899.00,2025-09-02,INV/2025/69875,Vendor 244 Pvt Ltd,27AAAAA6325A1ZE
G_000245,69978.00,2025-06-25,INV/2025/72601,Vendor 245 Pvt Ltd,27AAAAA8531A1ZA
G_000246,80063.00,2025-09-05,,Vendor 246 Pvt Ltd,27AAAAA5331A1ZI
G_000247,59146.00,2025-06-02,INV/2025/38880,Vendor 247 Pvt Ltd,27AAAAA5890A1Z2
G_000248,45818.00,2025-10-14,INV/2025/95589,Vendor 248 Pvt Ltd,27AAAAA8861A1Z1
G_000249,49867.00,2025-07-22,,Vendor 249 Pvt Ltd,27AAAAA9899A1ZL
G_000250,5613.00,2025-05-28,INV/2025/94603,Vendor 250 Pvt Ltd,27AAAAA5758A1Z3
G_000251,98055.00,2025-09-03,INV/2025/29047,Vendor 251 Pvt Ltd,27AAAAA5201A1ZP
G_000252,18093.00,2025-02-25,INV/2025/81698,Vendor 252 Pvt Ltd,27AAAAA5450A1ZE
G_000253,29679.00,2025-11-23,INV/2025/31518,Vendor 253 Pvt Ltd,27AAAAA9700A1ZD
G_000254,13278.00,2025-12-15,INV/2025/19018,Vendor 254 Pvt Ltd,27AAAAA8739A1Z0
G_000255,53434.00,2025-12-01,INV/2025/63350,Vendor 255 Pvt Ltd,27AAAAA3587A1Z4
G_000256,42196.00,2025-05-27,INV/2025/85659,Vendor 256 Pvt Ltd,27AAAAA5706A1ZF
G_000257,70243.00,2025-01-20,INV/2025/23946,Vendor 257 Pvt Ltd,27AAAAA4804A1ZI
