purchase_id,gst_id,label,mutation_type
P_000104,G_000104,POSITIVE,EXACT
P_000105,G_000105,POSITIVE,REF_MISSING
P_000106,G_000106,POSITIVE,VENDOR_ALIAS
P_000107,G_000107,POSITIVE,EXACT
P_000108,G_000108,POSITIVE,EXACT
P_000109,G_000109,POSITIVE,VENDOR_ALIAS
P_000110,G_000110,POSITIVE,EXACT
P_000111,G_000111,POSITIVE,EXACT
P_000112,G_000112,POSITIVE,EXACT
P_000113,G_000113,POSITIVE,EXACT
P_000114,G_000114,POSITIVE,VENDOR_ALIAS
P_000115,G_000115,POSITIVE,REF_MISSING
P_000116,G_000116,POSITIVE,EXACT
P_000117,G_000117,POSITIVE,EXACT
P_000118,G_000118,POSITIVE,EXACT
P_000119,G_000119,POSITIVE,EXACT
P_000120,G_000120,NEGATIVE,AMOUNT_MISMATCH
P_000121,G_000121,POSITIVE,EXACT
P_000122,G_000122,POSITIVE,VENDOR_ALIAS
P_000123,G_000123,POSITIVE,EXACT
P_000124,G_000124,NEGATIVE,AMOUNT_MISMATCH
P_000125,G_000125,POSITIVE,EXACT
P_000126,G_000126,POSITIVE,EXACT
P_000127,G_000127,POSITIVE,VENDOR_ALIAS
P_000128,G_000128,POSITIVE,EXACT
P_000129,G_000129,POSITIVE,VENDOR_ALIAS
P_000130,G_000130,POSITIVE,EXACT
P_000131,G_000131,NEGATIVE,AMOUNT_MISMATCH
P_000132,G_000132,POSITIVE,EXACT
P_000133,G_000133,POSITIVE,EXACT
P_000134,G_000134,POSITIVE,EXACT
P_000135,G_000135,POSITIVE,VENDOR_ALIAS
P_000136,G_000136,POSITIVE,EXACT
P_000137,G_000137,POSITIVE,VENDOR_ALIAS
P_000138,G_000138,POSITIVE,REF_MISSING
P_000139,G_000139,POSITIVE,EXACT
P_000140,G_000140,POSITIVE,EXACT
P_000141,G_000141,POSITIVE,EXACT
P_000142,G_000142,POSITIVE,EXACT
P_000143,G_000143,POSITIVE,EXACT
P_000144,G_000144,POSITIVE,EXACT
P_000145,G_000145,POSITIVE,EXACT
P_000146,G_000146,POSITIVE,EXACT
P_000147,G_000147,POSITIVE,EXACT
P_000148,G_000148,POSITIVE,EXACT
P_000149,G_000149,POSITIVE,EXACT
P_000150,G_000150,POSITIVE,EXACT
P_000151,G_000151,POSITIVE,EXACT
P_000152,G_000152,POSITIVE,VENDOR_ALIAS
P_000153,G_000153,POSITIVE,VENDOR_ALIAS
P_000154,G_000154,POSITIVE,VENDOR_ALIAS
P_000155,G_000155,POSITIVE,VENDOR_ALIAS
P_000156,G_000156,POSITIVE,VENDOR_ALIAS
P_000157,G_000157,POSITIVE,REF_MISSING
P_000158,G_000158,POSITIVE,VENDOR_ALIAS
P_000159,G_000159,POSITIVE,EXACT
P_000160,G_000160,POSITIVE,EXACT
P_000161,G_000161,POSITIVE,EXACT
P_000162,G_000162,POSITIVE,REF_MISSING
P_000163,G_000163,POSITIVE,EXACT
P_000164,G_000164,POSITIVE,EXACT
P_000165,G_000165,NEGATIVE,AMOUNT_MISMATCH
P_000166,G_000166,POSITIVE,EXACT
P_000167,G_000167,POSITIVE,VENDOR_ALIAS
P_000168,G_000168,POSITIVE,EXACT
P_000169,G_000169,NEGATIVE,TAX_MISMATCH
P_000170,G_000170,POSITIVE,EXACT
P_000171,G_000171,POSITIVE,EXACT
P_000172,G_000172,POSITIVE,EXACT
P_000173,G_000173,NEGATIVE,AMOUNT_MISMATCH
P_000174,G_000174,POSITIVE,EXACT
P_000175,G_000175,NEGATIVE,TAX_MISMATCH
P_000176,G_000176,POSITIVE,EXACT
P_000177,G_000177,POSITIVE,EXACT
P_000178,G_000178,POSITIVE,VENDOR_ALIAS
P_000179,G_000179,POSITIVE,VENDOR_ALIAS
P_000180,G_000180,POSITIVE,VENDOR_ALIAS
P_000181,G_000181,POSITIVE,VENDOR_ALIAS
P_000182,G_000182,POSITIVE,EXACT
P_000183,G_000183,POSITIVE,VENDOR_ALIAS
P_000184,G_000184,POSITIVE,VENDOR_ALIAS
P_000185,G_000185,POSITIVE,EXACT
P_000186,G_000186,POSITIVE,EXACT
P_000187,G_000187,POSITIVE,EXACT
P_000188,G_000188,POSITIVE,VENDOR_ALIAS
P_000189,G_000189,POSITIVE,EXACT
P_000190,G_000190,POSITIVE,EXACT
P_000191,G_000191,NEGATIVE,TAX_MISMATCH
P_000192,G_000192,POSITIVE,EXACT
P_000193,G_000193,NEGATIVE,AMOUNT_MISMATCH
P_000194,G_000194,POSITIVE,REF_MISSING
P_000195,G_000195,POSITIVE,EXACT
P_000196,G_000196,POSITIVE,VENDOR_ALIAS
P_000197,G_000197,POSITIVE,EXACT
P_000198,G_000198,POSITIVE,EXACT
P_000199,G_000199,POSITIVE,VENDOR_ALIAS
P_000200,G_000200,NEGATIVE,AMOUNT_MISMATCH
P_000201,G_000201,POSITIVE,EXACT
P_000202,G_000202,POSITIVE,EXACT
P_000203,G_000203,POSITIVE,REF_MISSING
P_000204,G_000204,POSITIVE,EXACT
P_000205,G_000205,POSITIVE,REF_MISSING
P_000206,G_000206,POSITIVE,REF_MISSING
P_000207,G_000207,POSITIVE,VENDOR_ALIAS
P_000208,G_000208,POSITIVE,EXACT
P_000209,G_000209,NEGATIVE,TAX_MISMATCH
P_000210,G_000210,POSITIVE,EXACT
P_000211,G_000211,POSITIVE,REF_MISSING
P_000212,G_000212,POSITIVE,EXACT
P_000213,G_000213,NEGATIVE,TAX_MISMATCH
P_000214,G_000214,POSITIVE,VENDOR_ALIAS
P_000215,G_000215,NEGATIVE,AMOUNT_MISMATCH
P_000216,G_000216,POSITIVE,REF_MISSING
P_000217,G_000217,POSITIVE,EXACT
P_000218,G_000218,POSITIVE,VENDOR_ALIAS
P_000219,G_000219,POSITIVE,VENDOR_ALIAS
P_000220,G_000220,POSITIVE,VENDOR_ALIAS
P_000221,G_000221,POSITIVE,EXACT
P_000222,G_000222,POSITIVE,EXACT
P_000223,G_000223,POSITIVE,REF_MISSING
P_000224,G_000224,POSITIVE,REF_MISSING
P_000225,G_000225,POSITIVE,EXACT
P_000226,G_000226,POSITIVE,VENDOR_ALIAS
P_000227,G_000227,POSITIVE,EXACT
P_000228,G_000228,NEGATIVE,TAX_MISMATCH
P_000229,G_000229,POSITIVE,EXACT
P_000230,G_000230,POSITIVE,EXACT
P_000231,G_000231,POSITIVE,EXACT
P_000232,G_000232,POSITIVE,REF_MISSING
P_000233,G_000233,POSITIVE,VENDOR_ALIAS
P_000234,G_000234,POSITIVE,EXACT
P_000235,G_000235,POSITIVE,EXACT
P_000236,G_000236,NEGATIVE,TAX_MISMATCH
P_000237,G_000237,POSITIVE,EXACT
P_000238,G_000238,POSITIVE,REF_MISSING
P_000239,G_000239,POSITIVE,VENDOR_ALIAS
P_000240,G_000240,NEGATIVE,AMOUNT_MISMATCH
P_000241,G_000241,POSITIVE,EXACT
P_000242,G_000242,POSITIVE,VENDOR_ALIAS
P_000243,G_000243,POSITIVE,EXACT
P_000244,G_000244,POSITIVE,EXACT
P_000245,G_000245,POSITIVE,EXACT
P_000246,G_000246,POSITIVE,REF_MISSING
P_000247,G_000247,NEGATIVE,AMOUNT_MISMATCH
P_000248,G_000248,POSITIVE,EXACT
P_000249,G_000249,POSITIVE,REF_MISSING
P_000250,G_000250,POSITIVE,EXACT
P_000251,G_000251,POSITIVE,EXACT
P_000252,G_000252,NEGATIVE,AMOUNT_MISMATCH
P_000253,G_000253,POSITIVE,EXACT
P_000254,G_000254,POSITIVE,EXACT
P_000255,G_000255,POSITIVE,EXACT
P_000256,G_000256,POSITIVE,EXACT
P_000257,G_000257,POSITIVE,EXACT
P_000258,G_000258,POSITIVE,REF_MISSING
P_000259,G_000259,POSITIVE,VENDOR_ALIAS
P_000260,G_000260,POSITIVE,VENDOR_ALIAS
P_000261,G_000261,POSITIVE,EXACT
P_000262,G_000262,POSITIVE,EXACT
P_000263,G_000263,NEGATIVE,AMOUNT_MISMATCH
P_000264,G_000264,POSITIVE,EXACT
P_000265,G_000265,POSITIVE,REF_MISSING
P_000266,G_000266,POSITIVE,EXACT
P_000267,G_000267,POSITIVE,VENDOR_ALIAS
P_000268,G_000268,POSITIVE,VENDOR_ALIAS
P_000269,G_000269,POSITIVE,VENDOR_ALIAS
P_000270,G_000270,POSITIVE,REF_MISSING
P_000271,G_000271,NEGATIVE,TAX_MISMATCH
P_000272,G_000272,NEGATIVE,AMOUNT_MISMATCH
P_000273,G_000273,POSITIVE,VENDOR_ALIAS
P_000274,G_000274,POSITIVE,EXACT
P_000275,G_000275,POSITIVE,EXACT
P_000276,G_000276,POSITIVE,EXACT
P_000277,G_000277,NEGATIVE,AMOUNT_MISMATCH
P_000278,G_000278,POSITIVE,REF_MISSING
P_000279,G_000279,POSITIVE,EXACT
P_000280,G_000280,POSITIVE,REF_MISSING
P_000281,G_000281,POSITIVE,REF_MISSING
P_000282,G_000282,POSITIVE,EXACT
P_000283,G_000283,POSITIVE,EXACT
P_000284,G_000284,POSITIVE,EXACT
P_000285,G_000285,NEGATIVE,TAX_MISMATCH
P_000286,G_000286,POSITIVE,EXACT
P_000287,G_000287,POSITIVE,EXACT
P_000288,G_000288,POSITIVE,EXACT
P_000289,G_000289,NEGATIVE,TAX_MISMATCH
P_000290,G_000290,POSITIVE,EXACT
P_000291,G_000291,POSITIVE,VENDOR_ALIAS
P_000292,G_000292,POSITIVE,EXACT
P_000293,G_000293,POSITIVE,EXACT
P_000294,G_000294,POSITIVE,EXACT
P_000295,G_000295,POSITIVE,EXACT
P_000296,G_000296,POSITIVE,VENDOR_ALIAS
P_000297,G_000297,POSITIVE,VENDOR_ALIAS
P_000298,G_000298,POSITIVE,EXACT
P_000299,G_000299,POSITIVE,REF_MISSING
P_000300,G_000300,POSITIVE,EXACT
P_000301,G_000301,POSITIVE,VENDOR_ALIAS
P_000302,G_000302,POSITIVE,EXACT
P_000303,G_000303,POSITIVE,EXACT
P_000304,G_000304,POSITIVE,EXACT
P_000305,G_000305,POSITIVE,EXACT
P_000306,G_000306,POSITIVE,REF_MISSING
P_000307,G_000307,POSITIVE,EXACT
P_000308,G_000308,POSITIVE,VENDOR_ALIAS
P_000309,G_000309,POSITIVE,EXACT
P_000310,G_000310,NEGATIVE,TAX_MISMATCH
P_000311,G_000311,POSITIVE,VENDOR_ALIAS
P_000312,G_000312,POSITIVE,EXACT
P_000313,G_000313,POSITIVE,EXACT
P_000314,G_000314,POSITIVE,EXACT
P_000315,G_000315,POSITIVE,EXACT
P_000316,G_000316,NEGATIVE,AMOUNT_MISMATCH
P_000317,G_000317,POSITIVE,EXACT
P_000318,G_000318,POSITIVE,EXACT
P_000319,G_000319,NEGATIVE,AMOUNT_MISMATCH
P_000320,G_000320,POSITIVE,REF_MISSING
P_000321,G_000321,POSITIVE,VENDOR_ALIAS
P_000322,G_000322,POSITIVE,REF_MISSING
P_000323,G_000323,POSITIVE,VENDOR_ALIAS
P_000324,G_000324,POSITIVE,EXACT
P_000325,G_000325,POSITIVE,EXACT
P_000326,G_000326,POSITIVE,REF_MISSING
P_000327,G_000327,NEGATIVE,AMOUNT_MISMATCH
P_000328,G_000328,POSITIVE,VENDOR_ALIAS
P_000329,G_000329,POSITIVE,EXACT
P_000330,G_000330,POSITIVE,EXACT
P_000331,G_000331,POSITIVE,EXACT
P_000332,G_000332,POSITIVE,VENDOR_ALIAS
P_000333,G_000333,POSITIVE,VENDOR_ALIAS
P_000334,G_000334,NEGATIVE,AMOUNT_MISMATCH
P_000335,G_000335,POSITIVE,VENDOR_ALIAS
P_000336,G_000336,POSITIVE,EXACT
P_000337,G_000337,POSITIVE,EXACT
P_000338,G_000338,POSITIVE,EXACT
P_000339,G_000339,POSITIVE,EXACT
P_000340,G_000340,POSITIVE,REF_MISSING
P_000341,G_000341,POSITIVE,EXACT
P_000342,G_000342,POSITIVE,VENDOR_ALIAS
P_000343,G_000343,NEGATIVE,TAX_MISMATCH
P_000344,G_000344,POSITIVE,VENDOR_ALIAS
P_000345,G_000345,NEGATIVE,AMOUNT_MISMATCH
P_000346,G_000346,POSITIVE,VENDOR_ALIAS
P_000347,G_000347,POSITIVE,EXACT
P_000348,G_000348,POSITIVE,VENDOR_ALIAS
P_000349,G_000349,POSITIVE,REF_MISSING
P_000350,G_000350,POSITIVE,VENDOR_ALIAS
P_000351,G_000351,POSITIVE,VENDOR_ALIAS
P_000352,G_000352,POSITIVE,EXACT
P_000353,G_000353,POSITIVE,VENDOR_ALIAS
P_000354,G_000354,POSITIVE,VENDOR_ALIAS
P_000355,G_000355,POSITIVE,REF_MISSING
P_000356,G_000356,POSITIVE,EXACT
P_000357,G_000357,POSITIVE,EXACT
P_000358,G_000358,NEGATIVE,TAX_MISMATCH
P_000359,G_000359,POSITIVE,EXACT
P_000360,G_000360,POSITIVE,VENDOR_ALIAS
P_000361,G_000361,POSITIVE,VENDOR_ALIAS
P_000362,G_000362,POSITIVE,EXACT
P_000363,G_000363,POSITIVE,EXACT
P_000364,G_000364,POSITIVE,REF_MISSING
P_000365,G_000365,POSITIVE,EXACT
P_000366,G_000366,NEGATIVE,TAX_MISMATCH
P_000367,G_000367,POSITIVE,EXACT
P_000368,G_000368,POSITIVE,VENDOR_ALIAS
P_000369,G_000369,POSITIVE,VENDOR_ALIAS
P_000370,G_000370,POSITIVE,EXACT
P_000371,G_000371,POSITIVE,REF_MISSING
P_000372,G_000372,POSITIVE,VENDOR_ALIAS
P_000373,G_000373,POSITIVE,EXACT
P_000374,G_000374,POSITIVE,EXACT
P_000375,G_000375,POSITIVE,VENDOR_ALIAS
P_000376,G_000376,NEGATIVE,AMOUNT_MISMATCH
P_000377,G_000377,POSITIVE,EXACT
P_000378,G_000378,POSITIVE,REF_MISSING
P_000379,G_000379,POSITIVE,VENDOR_ALIAS
P_000380,G_000380,NEGATIVE,AMOUNT_MISMATCH
P_000381,G_000381,POSITIVE,VENDOR_ALIAS
P_000382,G_000382,POSITIVE,REF_MISSING
P_000383,G_000383,POSITIVE,REF_MISSING
P_000384,G_000384,POSITIVE,EXACT
P_000385,G_000385,POSITIVE,EXACT
P_000386,G_000386,POSITIVE,EXACT
P_000387,G_000387,POSITIVE,EXACT
P_000388,G_000388,POSITIVE,VENDOR_ALIAS
P_000389,G_000389,POSITIVE,VENDOR_ALIAS
P_000390,G_000390,NEGATIVE,TAX_MISMATCH
P_000391,G_000391,POSITIVE,VENDOR_ALIAS
P_000392,G_000392,NEGATIVE,AMOUNT_MISMATCH
P_000393,G_000393,POSITIVE,REF_MISSING
P_000394,G_000394,POSITIVE,REF_MISSING
P_000395,G_000395,POSITIVE,EXACT
P_000396,G_000396,POSITIVE,EXACT
P_000397,G_000397,NEGATIVE,AMOUNT_MISMATCH
P_000398,G_000398,POSITIVE,VENDOR_ALIAS
P_000399,G_000399,POSITIVE,EXACT
P_000400,G_000400,POSITIVE,EXACT
P_000401,G_000401,POSITIVE,REF_MISSING
P_000402,G_000402,POSITIVE,VENDOR_ALIAS
P_000403,G_000403,POSITIVE,VENDOR_ALIAS
P_000404,G_000404,POSITIVE,EXACT
P_000405,G_000405,POSITIVE,EXACT
P_000406,G_000406,NEGATIVE,AMOUNT_MISMATCH
P_000407,G_000407,POSITIVE,VENDOR_ALIAS
P_000408,G_000408,NEGATIVE,AMOUNT_MISMATCH
P_000409,G_000409,POSITIVE,VENDOR_ALIAS
P_000410,G_000410,POSITIVE,EXACT
P_000411,G_000411,POSITIVE,EXACT
P_000412,G_000412,POSITIVE,EXACT
P_000413,G_000413,POSITIVE,VENDOR_ALIAS
P_000414,G_000414,POSITIVE,VENDOR_ALIAS
P_000415,G_000415,POSITIVE,VENDOR_ALIAS
P_000416,G_000416,POSITIVE,VENDOR_ALIAS
P_000417,G_000417,NEGATIVE,AMOUNT_MISMATCH
P_000418,G_000418,POSITIVE,VENDOR_ALIAS
P_000419,G_000419,POSITIVE,EXACT
P_000420,G_000420,NEGATIVE,AMOUNT_MISMATCH
P_000421,G_000421,POSITIVE,REF_MISSING
P_000422,G_000422,POSITIVE,VENDOR_ALIAS
P_000423,G_000423,POSITIVE,EXACT
P_000424,G_000424,NEGATIVE,AMOUNT_MISMATCH
P_000425,G_000425,POSITIVE,EXACT
P_000426,G_000426,POSITIVE,EXACT
P_000427,G_000427,POSITIVE,VENDOR_ALIAS
P_000428,G_000428,NEGATIVE,TAX_MISMATCH
P_000429,G_000429,POSITIVE,REF_MISSING
P_000430,G_000430,POSITIVE,EXACT
P_000431,G_000431,POSITIVE,VENDOR_ALIAS
P_000432,G_000432,POSITIVE,REF_MISSING
P_000433,G_000433,POSITIVE,EXACT
P_000434,G_000434,POSITIVE,VENDOR_ALIAS
P_000435,G_000435,NEGATIVE,TAX_MISMATCH
P_000436,G_000436,POSITIVE,REF_MISSING
P_000437,G_000437,POSITIVE,EXACT
P_000438,G_000438,POSITIVE,EXACT
P_000439,G_000439,NEGATIVE,TAX_MISMATCH
P_000440,G_000440,POSITIVE,REF_MISSING
P_000441,G_000441,POSITIVE,EXACT
P_000442,G_000442,POSITIVE,EXACT
P_000443,G_000443,POSITIVE,VENDOR_ALIAS
P_000444,G_000444,POSITIVE,EXACT
P_000445,G_000445,POSITIVE,EXACT
P_000446,G_000446,POSITIVE,EXACT
P_000447,G_000447,POSITIVE,EXACT
P_000448,G_000448,NEGATIVE,AMOUNT_MISMATCH
P_000449,G_000449,NEGATIVE,TAX_MISMATCH
P_000450,G_000450,POSITIVE,REF_MISSING
P_000451,G_000451,POSITIVE,EXACT
P_000452,G_000452,POSITIVE,EXACT
P_000453,G_000453,POSITIVE,EXACT
P_000454,G_000454,POSITIVE,REF_MISSING
P_000455,G_000455,POSITIVE,VENDOR_ALIAS
P_000456,G_000456,POSITIVE,EXACT
P_000457,G_000457,POSITIVE,REF_MISSING
P_000458,G_000458,POSITIVE,EXACT
P_000459,G_000459,POSITIVE,EXACT
P_000460,G_000460,POSITIVE,EXACT
P_000461,G_000461,POSITIVE,EXACT
P_000462,G_000462,POSITIVE,VENDOR_ALIAS
P_000463,G_000463,POSITIVE,EXACT
P_000464,G_000464,POSITIVE,EXACT
P_000465,G_000465,NEGATIVE,AMOUNT_MISMATCH
P_000466,G_000466,POSITIVE,EXACT
P_000467,G_000467,POSITIVE,EXACT
P_000468,G_000468,POSITIVE,EXACT
P_000469,G_000469,POSITIVE,VENDOR_ALIAS
P_000470,G_000470,NEGATIVE,AMOUNT_MISMATCH
P_000471,G_000471,POSITIVE,REF_MISSING
P_000472,G_000472,POSITIVE,EXACT
P_000473,G_000473,NEGATIVE,TAX_MISMATCH
P_000474,G_000474,POSITIVE,REF_MISSING
P_000475,G_000475,POSITIVE,REF_MISSING
P_000476,G_000476,POSITIVE,REF_MISSING
P_000477,G_000477,POSITIVE,EXACT
P_000478,G_000478,NEGATIVE,AMOUNT_MISMATCH
P_000479,G_000479,POSITIVE,EXACT
P_000480,G_000480,NEGATIVE,AMOUNT_MISMATCH
P_000481,G_000481,POSITIVE,EXACT
P_000482,G_000482,NEGATIVE,AMOUNT_MISMATCH
P_000483,G_000483,POSITIVE,EXACT
P_000484,G_000484,POSITIVE,VENDOR_ALIAS
P_000485,G_000485,POSITIVE,VENDOR_ALIAS
P_000486,G_000486,POSITIVE,EXACT
P_000487,G_000487,POSITIVE,EXACT
P_000488,G_000488,POSITIVE,EXACT
P_000489,G_000489,POSITIVE,VENDOR_ALIAS
P_000490,G_000490,POSITIVE,EXACT
P_000491,G_000491,POSITIVE,EXACT
P_000492,G_000492,POSITIVE,EXACT
P_000493,G_000493,POSITIVE,EXACT
P_000494,G_000494,POSITIVE,EXACT
P_000495,G_000495,NEGATIVE,TAX_MISMATCH
P_000496,G_000496,POSITIVE,VENDOR_ALIAS
P_000497,G_000497,POSITIVE,EXACT
P_000498,G_000498,NEGATIVE,TAX_MISMATCH
P_000499,G_000499,POSITIVE,REF_MISSING
P_000500,G_000500,POSITIVE,EXACT
P_000501,G_000501,NEGATIVE,TAX_MISMATCH
P_000502,G_000502,POSITIVE,VENDOR_ALIAS
P_000503,G_000503,POSITIVE,EXACT
P_000504,G_000504,NEGATIVE,AMOUNT_MISMATCH
P_000505,G_000505,POSITIVE,EXACT
P_000506,G_000506,POSITIVE,EXACT
P_000507,G_000507,POSITIVE,VENDOR_ALIAS
P_000508,G_000508,NEGATIVE,TAX_MISMATCH
P_000509,G_000509,POSITIVE,REF_MISSING
P_000510,G_000510,POSITIVE,VENDOR_ALIAS
P_000511,G_000511,POSITIVE,REF_MISSING
P_000512,G_000512,NEGATIVE,AMOUNT_MISMATCH
P_000513,G_000513,POSITIVE,EXACT
P_000514,G_000514,POSITIVE,EXACT
P_000515,G_000515,POSITIVE,VENDOR_ALIAS
P_000516,G_000516,POSITIVE,VENDOR_ALIAS
P_000517,G_000517,POSITIVE,EXACT
P_000518,G_000518,POSITIVE,EXACT
P_000519,G_000519,POSITIVE,VENDOR_ALIAS
P_000520,G_000520,POSITIVE,EXACT
P_000521,G_000521,POSITIVE,EXACT
P_000522,G_000522,POSITIVE,EXACT
P_000523,G_000523,POSITIVE,EXACT
P_000524,G_000524,POSITIVE,VENDOR_ALIAS
P_000525,G_000525,POSITIVE,VENDOR_ALIAS
P_000526,G_000526,POSITIVE,VENDOR_ALIAS
P_000527,G_000527,NEGATIVE,AMOUNT_MISMATCH
P_000528,G_000528,POSITIVE,EXACT
P_000529,G_000529,POSITIVE,EXACT
P_000530,G_000530,POSITIVE,VENDOR_ALIAS
P_000531,G_000531,NEGATIVE,TAX_MISMATCH
P_000532,G_000532,POSITIVE,EXACT
P_000533,G_000533,POSITIVE,EXACT
P_000534,G_000534,POSITIVE,EXACT
P_000535,G_000535,POSITIVE,VENDOR_ALIAS
P_000536,G_000536,POSITIVE,EXACT
P_000537,G_000537,POSITIVE,EXACT
P_000538,G_000538,POSITIVE,EXACT
P_000539,G_000539,POSITIVE,VENDOR_ALIAS
P_000540,G_000540,NEGATIVE,AMOUNT_MISMATCH
P_000541,G_000541,POSITIVE,VENDOR_ALIAS
P_000542,G_000542,POSITIVE,VENDOR_ALIAS
P_000543,G_000543,POSITIVE,EXACT
P_000544,G_000544,POSITIVE,EXACT
P_000545,G_000545,POSITIVE,EXACT
P_000546,G_000546,POSITIVE,VENDOR_ALIAS
P_000547,G_000547,NEGATIVE,AMOUNT_MISMATCH
P_000548,G_000548,NEGATIVE,AMOUNT_MISMATCH
P_000549,G_000549,NEGATIVE,AMOUNT_MISMATCH
P_000550,G_000550,POSITIVE,VENDOR_ALIAS
P_000551,G_000551,POSITIVE,EXACT
P_000552,G_000552,POSITIVE,EXACT
P_000553,G_000553,POSITIVE,EXACT
